SOURCE_FILE,SPOT_COUNT,FRAMECOUNT,CHANNEL,MODEL,DATE,SPOTS_PER_FRAME
160727_k5_CFP_16-32_spots.csv,23,23,CFP,K5,,1.0
160727_k5_CFP_33-104_spots.csv,129,31,CFP,K5,,4.161290322580645
160727_k5_RFP_31-41_spots.csv,230,31,RFP,K5,,7.419354838709677
160727_k5_RFP_42-56_spots.csv,165,31,RFP,K5,,5.32258064516129
160727_k5_RFP_57-72_spots.csv,163,31,RFP,K5,,5.258064516129032
160727_k5_RFP_73-110_spots.csv,107,31,RFP,K5,,3.4516129032258065
160727_k5_YFP_15-45_spots.csv,90,31,YFP,K5,,2.903225806451613
171013_elf5__CFP_3Ddrift_118-162_spots.csv,246,31,CFP,ELF5,,7.935483870967742
171013_elf5__CFP_3Ddrift_92-117_spots.csv,188,31,CFP,ELF5,,6.064516129032258
171013_elf5__YFP_3Ddrift_117-126_spots.csv,426,31,YFP,ELF5,,13.741935483870968
171013_elf5__YFP_3Ddrift_127-136_spots.csv,577,31,YFP,ELF5,,18.612903225806452
171013_elf5__YFP_3Ddrift_137-153_spots.csv,334,31,YFP,ELF5,,10.774193548387096
171013_elf5__YFP_3Ddrift_99-116_spots.csv,384,31,YFP,ELF5,,12.387096774193548
171025_pr_CFP_100-119_spots.csv,87,29,CFP,PR,,3.0
171025_pr_CFP_46-59_spots.csv,128,31,CFP,PR,,4.129032258064516
171025_pr_CFP_60-69_spots.csv,96,30,CFP,PR,,3.2
171025_pr_CFP_70-79_spots.csv,140,31,CFP,PR,,4.516129032258065
171025_pr_CFP_80-89_spots.csv,172,31,CFP,PR,,5.548387096774194
171025_pr_CFP_90-99_spots.csv,151,31,CFP,PR,,4.870967741935484
171025_pr_RFP_45-67_spots.csv,256,31,RFP,PR,,8.258064516129032
171025_pr_RFP_68-79_spots.csv,217,31,RFP,PR,,7.0
171025_pr_RFP_80-92_spots.csv,264,31,RFP,PR,,8.516129032258064
171025_pr_RFP_93-110_spots.csv,128,31,RFP,PR,,4.129032258064516
171025_pr_YFP_104-127_spots.csv,137,31,YFP,PR,,4.419354838709677
171025_pr_YFP_128-150_spots.csv,67,29,YFP,PR,,2.310344827586207
171025_pr_YFP_45-57_spots.csv,161,31,YFP,PR,,5.193548387096774
171025_pr_YFP_58-67_spots.csv,196,31,YFP,PR,,6.32258064516129
171025_pr_YFP_68-77_spots.csv,252,31,YFP,PR,,8.129032258064516
171025_pr_YFP_78-87_spots.csv,257,31,YFP,PR,,8.290322580645162
171025_pr_YFP_88-103_spots.csv,176,31,YFP,PR,,5.67741935483871
171101_pr_stab_CFP_19-35_spots.csv,138,31,CFP,PR,,4.451612903225806
171101_pr_stab_CFP_36-45_spots.csv,178,31,CFP,PR,,5.741935483870968
171101_pr_stab_CFP_47-66_spots.csv,305,31,CFP,PR,,9.838709677419354
171101_pr_stab_RFP_14-32_spots.csv,245,31,RFP,PR,,7.903225806451613
171101_pr_stab_RFP_33-44_spots.csv,447,31,RFP,PR,,14.419354838709678
171101_pr_stab_RFP_45-54_spots.csv,394,31,RFP,PR,,12.709677419354838
171101_pr_stab_RFP_55-67_spots.csv,268,31,RFP,PR,,8.64516129032258
171103_pr_CFP_108-120_spots.csv,55,14,CFP,PR,,3.9285714285714284
171103_pr_CFP_121-131_spots.csv,59,13,CFP,PR,,4.538461538461538
171103_pr_CFP_48-68_spots.csv,137,14,CFP,PR,,9.785714285714286
171103_pr_CFP_69-80_spots.csv,115,14,CFP,PR,,8.214285714285714
171103_pr_CFP_81-95_spots.csv,108,14,CFP,PR,,7.714285714285714
171103_pr_CFP_96-107_spots.csv,92,14,CFP,PR,,6.571428571428571
171103_pr_RFP_106-121_spots.csv,22,14,RFP,PR,,1.5714285714285714
171103_pr_RFP_84-89_spots.csv,10,10,RFP,PR,,1.0
