strategy,fold,macro_f1,accuracy
A_Baseline,1,0.9698307939367827,0.9707887049659202
A_Baseline,2,0.47635457444482093,0.8916797488226059
A_Baseline,3,0.4733213025120282,0.6445093742391039
A_Baseline,4,0.32102014972805387,0.8539285714285715
A_Baseline,5,0.565971537807475,0.6362810417928528
B_XGB_MC_Weight,1,0.9565478351649541,0.9581304771178188
B_XGB_MC_Weight,2,0.47716797270681766,0.8959968602825745
B_XGB_MC_Weight,3,0.469602756126743,0.6316045775505235
B_XGB_MC_Weight,4,0.3132998324958124,0.835
B_XGB_MC_Weight,5,0.5669616101369277,0.6365838885523925
C_Under_r3,1,0.9708468537252657,0.9717624148003895
C_Under_r3,2,0.46565957541666975,0.8367346938775511
C_Under_r3,3,0.47155218359620427,0.6291697102507914
C_Under_r3,4,0.3165818281873391,0.8314285714285714
C_Under_r3,5,0.5691625193386642,0.6374924288310115
C_Under_r2,1,0.9890089148723576,0.9892891918208374
C_Under_r2,2,0.4632020219779123,0.8245682888540031
C_Under_r2,3,0.454574330781891,0.5904553201850499
C_Under_r2,4,0.3183564818209818,0.8403571428571428
C_Under_r2,5,0.3656360986898115,0.6265899454875833
C_Under_r1,1,0.9431164494662964,0.9454722492697176
C_Under_r1,2,0.4525385431510163,0.7798273155416012
C_Under_r1,3,0.4034319510387793,0.4989043097151205
C_Under_r1,4,0.3182274990833093,0.82
C_Under_r1,5,0.3932079045696409,0.6520290732889158
D_Mixed_r2_ROS,1,0.9890089148723576,0.9892891918208374
D_Mixed_r2_ROS,2,0.46203224285522726,0.8253532182103611
D_Mixed_r2_ROS,3,0.4466734090975392,0.5799853907962016
D_Mixed_r2_ROS,4,0.32059759561774065,0.8317857142857142
D_Mixed_r2_ROS,5,0.36099400140762405,0.6226529376135675
