model,fold,macro_f1,accuracy,macro_auc
LR,1,0.9990038922884581,0.9990262901655307,1.0
LR,2,0.6201412114455592,0.8300627943485086,0.9999457553566585
LR,3,0.3333642515149909,0.40199659118578035,0.5800530248489479
LR,4,0.4366784394917387,0.7978571428571428,0.9995509863178784
LR,5,0.5553699926753016,0.6238643246517263,0.8759534438125522
RF,1,1.0,1.0,1.0
RF,2,0.4583825747026073,0.8434065934065934,0.953781303679595
RF,3,0.3650101484971284,0.5247139030922815,0.7904778256371952
RF,4,0.3169551090776474,0.8535714285714285,0.7870529347580794
RF,5,0.4738316614106408,0.58328285887341,0.8687042874164503
XGB-OVR,1,0.9596257420293273,0.9610516066212269,0.9999534577046891
XGB-OVR,2,0.4744917126604649,0.8818681318681318,0.9586226380978211
XGB-OVR,3,0.4851734880912302,0.6620404187971756,0.8623342359188066
XGB-OVR,4,0.31771965912430206,0.8371428571428572,0.9549881232391335
XGB-OVR,5,0.5148036253091889,0.6072077528770442,0.8336014705855102
