model,fold,macro_f1,accuracy,macro_auc
RF,1,0.4909061369199869,0.8781978396816373,0.9736230555630443
RF,2,0.39992357181051896,0.7966159924418106,0.7628351727205326
RF,3,0.49275613776351174,0.9714383444501453,
RF,4,0.19903096471252277,0.3763859400802076,0.4179925683832424
RF,5,0.3986632680922229,0.4258941442987575,0.8617816885446531
XGB-OVR,1,0.5128183652565022,0.8854462762933485,0.9452493563475588
XGB-OVR,2,0.44775205090759296,0.8767499785278708,0.8106733756752551
XGB-OVR,3,0.49183034938293063,0.9678467590217206,
XGB-OVR,4,0.19129531146564557,0.3673036093418259,0.3437113971887834
XGB-OVR,5,0.4938073597171339,0.441477311731997,0.8782157536232451
