model,fold,macro_f1,accuracy,macro_auc
LR,1,0.26419753086419756,0.656441717791411,
LR,2,0.44358525882966643,0.44,0.8006818181818183
LR,3,0.7463046757164404,0.777027027027027,0.9748459006835715
LR,4,0.6019985085756897,0.9,0.9916606886657102
LR,5,0.5375404530744337,0.8243243243243243,0.9225458468176915
RF,1,0.0,0.0,
RF,2,0.4176555907172996,0.37333333333333335,0.854659090909091
RF,3,0.40163281561131026,0.36486486486486486,0.6698769302217578
RF,4,1.0,1.0,0.9996413199426112
RF,5,0.4103585657370518,0.6959459459459459,0.9226537216828479
XGB-OVR,1,0.0,0.0,
XGB-OVR,2,0.44020356234096686,0.4066666666666667,0.8946590909090909
XGB-OVR,3,0.3962257882321672,0.3581081081081081,0.8433668279207479
XGB-OVR,4,0.6842105263157895,0.7266666666666667,0.9062051649928264
XGB-OVR,5,0.5851606323304437,0.8918918918918919,0.9731391585760517
