LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID4803,4803,0,61.0,116.09629674330792,4.87405220876071,0.0,9.0,9,4.381648238101015,1,,637.2131147540983,649.0,328.0,828.0,38870.0,114.08799451214523,0.2649079094036133,2.3394338652831346,0.005194814819347713,0.06836101792754568,6.630476807385814,2.910299465892436,-0.684248054153057,2.278279910741967,60.314938730393074,43.75221925035015,0.3959447434050693,0.8243243243243243,5.633621189281809
ID4931,4931,0,63.0,115.06234248178386,5.2401818406233325,0.0,17.0,17,4.452899222802579,1,,530.3333333333334,525.0,227.0,776.0,33411.0,107.67423988811748,0.23895523135834446,1.899888154582144,-0.1326716272530861,0.3467236085354834,6.950227676528219,3.0783706986360535,2.378309369641547,2.257761769759466,62.29247770516007,43.75221925035018,0.40892653827080877,0.8344370860927148,5.5434774341488815
ID5188,5188,0,101.0,114.40130714421625,6.064683790734572,0.0,29.0,29,5.638106544053199,1,,584.2574257425742,592.0,328.0,862.0,59010.0,124.18974623255711,0.2760112712005383,2.0352642471910136,0.21401593945796174,-0.23426625178536098,8.560539157047723,3.8238056854145226,2.3779581859087195,2.2387484776490965,99.86571822573279,55.6846459182367,0.4047206546302526,0.8559322033898303,5.572207077879901
ID4741,4741,0,65.0,113.77075949210246,5.491992246959146,0.0,5.0,5,4.523027934295555,1,,601.4,614.0,242.0,808.0,39091.0,112.54926699006087,0.26113824749647374,2.2128834294603323,-0.12790922500520027,0.18341364577914102,6.697999829514333,3.1137258684013043,-0.7856448761041339,2.1511205907645685,64.27001667992705,43.75223111558401,0.42190810430065984,0.8496732026143793,5.457528321949455
ID5190,5190,0,112.0,114.57403778760968,5.95735281165744,0.0,30.0,30,5.937198963736773,1,,589.4285714285714,618.0,260.0,925.0,66016.0,168.40030142093423,0.28135222488004696,1.5370929876345103,0.3892773278872381,-0.358163829921578,9.163241680671703,4.018754573021517,-0.6568464239559954,2.2801197520709215,110.74218258695123,59.66210960896504,0.3909540634452351,0.8517110266159693,5.669464840146955
ID4871,4871,0,68.0,115.4926773138687,4.635527619555644,0.0,13.0,13,4.626228161622709,1,,593.7941176470588,610.0,291.0,814.0,40378.0,116.93748282845243,0.22636174785058438,1.8745480993374395,-0.0014543162385552073,0.3206542753810902,5.856642696668272,4.0535064225940785,2.4571864215380197,1.4448337034878214,67.23632514207749,41.763475539752136,0.4844183277124273,0.8717948717948716,5.0932459552567355
ID4875,4875,0,58.0,114.88355254987296,4.8347045378330895,0.0,16.0,16,4.272544437859083,1,,565.5,562.0,281.0,876.0,32799.0,105.97173572198308,0.20988858583161293,1.8514670992572488,0.14422403274076712,-0.052047537091653794,5.92045982189904,3.150455519233126,2.3766137787788013,1.8792392991284574,57.348630268242566,39.77475555962181,0.4555309347664664,0.8592592592592592,5.2522573144122715
