LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID10048,10048,0,129.0,106.55216660106076,75.2483623768729,0.0,5.0,5,6.371896932619912,1,,1956.1937984496124,1936.0,550.0,3621.0,252349.0,661.358699448522,0.2793831309850608,1.2918270162656922,-0.12658435905143187,0.09589519479648777,7.203022027909884,5.678509024991219,-0.3316648948643444,1.2684706489342987,127.55202487329652,51.70734438595599,0.5995049235447634,0.9314079422382675,4.578345413298777
ID10082,10082,0,114.0,110.07892781240149,73.53103569693593,0.0,16.0,16,5.989992972308997,1,,2007.982456140351,2037.0,796.0,3410.0,228910.0,735.774445796889,0.1411499535281874,0.67512351034594,-0.0048858612057339455,-0.4555772845683285,10.311369852661244,3.7243505872405462,-1.3821424202235404,2.768635661741277,112.72039407407601,63.63975127816961,0.34974814130591103,0.7944250871080142,5.994144723824751
ID10115,10115,0,123.0,109.36495293370098,75.46701470582586,0.0,13.0,13,6.221948941873686,1,,2202.967479674797,2257.0,697.0,3616.0,270965.0,812.9934762200634,0.09747182490300377,0.48132313724540016,0.5006527718959218,-0.439236004386921,9.945831068228687,4.480486858878167,1.813528943686612,2.219810342378494,121.61937255360826,59.662271767160945,0.42935156523553525,0.8482758620689655,5.41001422163566
ID10023,10023,0,212.0,100.60530349471368,74.76535778947894,0.0,1.0,1,8.168490676020129,1,,1276.75,1213.0,492.0,2491.0,270671.0,427.5050497193513,0.3812160798745071,1.6485578761861734,-0.16240113233927736,-0.21291100889277523,14.121373629429982,4.8383300482934635,-0.10312310720965005,2.918646204057691,209.62038196231674,81.53855937156743,0.3962025842724954,0.8635437881873727,5.6317877658816675
ID10058,10058,0,134.0,106.58351762147645,74.05087320961813,0.0,6.0,6,6.494209376344771,1,,2053.731343283582,1968.0,480.0,3809.0,275200.0,843.0106374178715,0.1875981291649154,0.7696611589288563,0.5144875659778335,-0.35187998747592975,8.58223123441356,6.149918838130096,2.1257802193908906,1.395503170091106,132.49590180637,59.662303407973326,0.4677483635635045,0.8072289156626506,5.18320986629325
ID10186,10186,0,108.0,107.52127425986693,76.1521598045201,0.0,8.0,8,5.830231035187475,1,,2071.3425925925926,2166.0,645.0,3368.0,223705.0,712.1119328433477,0.1499079793485295,0.7583947720646521,-0.22337686603672263,-0.025396817366403084,6.865420415046016,5.318876568706248,1.852771233138994,1.2907651317646474,106.78774175438781,49.71858089984238,0.5428674696479625,0.8780487804878052,4.8112510950546765
ID10027,10027,0,119.0,108.28647478950681,75.84786033912972,0.0,9.0,9,6.119942868375853,1,,1944.7563025210084,1900.0,733.0,3260.0,231426.0,677.1255168223801,0.11457478254953882,0.590480869778757,0.8377900665341855,-0.23998633886760637,9.15056792523275,4.8497982668927655,1.8950486987029371,1.8867935162786595,117.66427100714952,57.67353201165662,0.4445303058897032,0.8561151079136695,5.316848001233071
