LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID11539,11539,1,207.0,76.32133912360965,77.85403216826576,0.0,3.0,3,8.07157332157829,1,,3649.7004830917876,3952.0,1560.0,4095.0,755488.0,609.3483365785348,0.5484525447571938,4.242899516084132,0.4993895098630802,0.1603359413148476,10.80122971213209,5.819263895015284,0.27002887080913746,1.856116152660528,204.67569093344753,73.58333535817906,0.4750257914261107,0.9059080962800877,5.143353058665919
ID11669,11669,1,204.0,77.20974284008294,80.8707031924794,0.0,0.0,0,8.012870191065518,1,,2480.9656862745096,2418.0,860.0,4095.0,506117.0,768.218266012653,0.5269463298504902,2.228993159545979,0.19808419219971943,-0.13548459795259546,9.744714296483176,6.78136010468469,0.21936807920907836,1.4369852280446433,201.70937657209316,69.60587166749792,0.5231716452963419,0.9107142857142855,4.900978901711391
ID11589,11589,1,243.0,72.50292368714965,72.40500250066123,0.0,6.0,6,8.745329160562845,1,,3612.5267489711932,4095.0,868.0,4095.0,877844.0,785.7355678254579,0.5430066564639745,3.235951532867748,0.4628027886771632,0.28741525386496103,14.801577458316242,4.987816510507811,0.5614472938891496,2.9675465059979302,240.2714632696993,103.41443564594789,0.2823252522054282,0.7570093457943925,6.671601069405432
ID11557,11557,1,240.0,71.2506032498598,69.63088916731333,0.0,8.0,8,8.69117799494653,1,,3702.975,4095.0,1051.0,4095.0,888714.0,698.7459832894751,0.5175381323445529,3.6146328634320852,1.1198566452947896,0.9198997195735026,15.4773695446972,5.278683645257114,0.6281441848909245,2.9320509780129718,237.30514890834496,95.4594766238991,0.32724945168560454,0.8362369337979092,6.196771299982536
ID11718,11718,1,207.0,76.88337315416483,76.2447830304628,0.0,4.0,4,8.07157332157829,1,,3632.685990338164,4056.0,1547.0,4095.0,751966.0,651.2245768265892,0.525840780498473,3.844785525469154,0.4899167895765936,0.2687185978610337,11.954428501293343,5.307504740702109,0.3689083403246691,2.2523632262854916,204.6756909334475,77.56080695903182,0.42755450943005974,0.892241379310345,5.421371724501362
ID11575,11575,1,199.0,75.76183971373085,77.60097946127429,0.0,2.0,2,7.914064066855052,1,,3044.4924623115576,2979.0,1241.0,4095.0,605854.0,738.9814302374767,0.5469940947879341,2.913435149506062,0.21717247139180343,0.21851540486534732,10.140629038684665,6.12967214257302,0.21993967529888891,1.654350967363156,196.76551930316938,71.59459955775267,0.4823900390789857,0.89237668161435,5.103942420421736
ID11562,11562,1,249.0,71.0673540248755,67.5733580864038,0.0,10.0,10,8.852637827229064,1,,3641.3092369477913,4095.0,1217.0,4095.0,906686.0,700.850212900301,0.5098379872429263,3.5088450630275205,0.6228866295639025,-0.06904445964833564,14.441828324596163,5.839860715270863,0.5260458478009739,2.4729747897636845,246.204091992408,97.44821242432549,0.32580472395853893,0.8097560975609758,6.210495386589465
