LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID13184,13184,0,197.0,172.40404176331313,158.63480465987652,0.0,0.0,0,7.874182728080253,1,,3217.3096446700506,3544.0,1054.0,4095.0,633810.0,949.3911263403769,0.48767515583057297,2.2217756842095597,0.4671154522616783,-0.14313211287283886,8.809816714787983,7.30358667037722,0.3450620366765227,1.2062315561366466,194.78739532267392,83.5269273485174,0.35084694813058326,0.7665369649805448,5.9847509237664
ID13360,13360,0,135.0,172.89462601768204,151.9249859149336,0.0,5.0,5,6.518373773692464,1,,3224.82962962963,3555.0,893.0,4095.0,435352.0,860.3600820338686,0.40236605358525607,2.150881389406111,-0.16842164197790244,0.09879029033292247,9.23404720867047,4.844036735881446,0.3362349603802959,1.9062710941621699,133.48374806376157,59.662079945520645,0.4712392729056967,0.89108910891089,5.1639757409904465
ID13251,13251,0,146.0,174.72933639153607,145.20524516216756,0.0,8.0,8,6.778737297155858,1,,2892.7397260273974,3105.0,610.0,4095.0,422340.0,958.0205674474521,0.32234796830560397,1.472121676337599,0.18247902265996088,0.5604053487250445,10.363801110264218,4.512410434347481,0.5743129920140959,2.29673281299441,144.36020160969755,83.52693921373952,0.2600184765185567,0.7263681592039792,6.951888970500541
ID13236,13236,0,161.0,174.15008572709186,139.26119256867244,0.0,10.0,10,7.118447948411764,1,,2002.8198757763976,1999.0,652.0,3193.0,322454.0,549.4330246740583,0.4094009812874193,2.1177341409040285,0.26713332197401213,0.37215465695040817,10.137994147906838,5.0457955398730086,0.9181429127693645,2.009196382967588,159.19172917233772,75.57200392216629,0.3502744721703622,0.791154791154791,5.9896395576270764
ID13124,13124,0,116.0,174.26280123102458,139.14320565235363,0.0,11.0,11,6.042287285710635,1,,1830.2931034482758,1765.0,835.0,3140.0,212314.0,476.99388415077334,0.33667840908668495,1.9329746632350457,7.96614257168447E-4,-0.15370480502471282,8.249644349969012,4.5197194538726775,0.8943951284963847,1.825255844784876,114.69714648441715,59.66210960857569,0.404916305934584,0.8111888111888114,5.57086069926648
ID13173,13173,0,208.0,171.74341968135212,153.9839123192185,0.0,2.0,2,8.091034317408841,1,,3176.543269230769,3341.0,1002.0,4095.0,660721.0,897.5718657340916,0.5606051919006907,2.54260916453268,0.5786150075296406,0.9328804547550278,11.72477982888965,6.242191018202517,0.6964978654180158,1.8783116048034498,205.6638488686099,87.50439499430405,0.33752666651140073,0.8253968253968247,6.1017005037552785
ID13206,13206,0,137.0,175.16825577265365,142.2892487843321,0.0,9.0,9,6.566480505842875,1,,2682.306569343066,2683.0,653.0,4095.0,367476.0,776.2645239907117,0.3746276227055998,1.8834036150264513,-0.3652316999960457,0.7034329829861501,9.162546093145446,5.2861924804562985,0.5981052979997323,1.733297856069468,135.46128507211355,83.52695107896159,0.2439898709759957,0.6748768472906405,7.176604834556525
