LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID37184,37184,0,305.0,54.29795705077682,66.71723999802433,0.0,19.0,19,6.531773377564226,1,,249.74754098360657,237.0,93.0,604.0,76173.0,84.42498150522175,-0.1317305203779318,-0.8976191602286376,-0.16736360358754504,-0.2340145237412203,11.199481220047046,4.276956997822134,0.23717915178014848,2.6185629702963875,134.03310832520842,67.61706203865447,0.36839129540364685,0.847222222222222,5.84050301000146
ID37057,37057,0,264.0,55.46115750325867,66.40925578343285,0.0,5.0,5,6.076914864467619,1,,256.5681818181818,257.0,110.0,453.0,67734.0,67.39184470544873,-0.13949713990339552,-1.2343503174290658,-0.05858804127775704,-0.005338099838233219,7.687841619174412,4.933112186074954,0.22735817082585807,1.5584161335060305,116.01554294378693,55.68463932595071,0.4701703291086762,0.8627450980392151,5.169842621131976
ID37443,37443,0,213.0,55.44188268234272,66.11695047174628,0.0,25.0,25,5.458470786902426,1,,242.55399061032864,239.0,138.0,398.0,51664.0,50.55823417567288,-0.14356006435798854,-1.6083599752330087,-0.07719913917932396,0.1114293738922798,7.963717776233256,3.9424975485294973,0.030364271419209832,2.0199677179770537,93.60344942055536,53.03298983423875,0.41822452200914134,0.8469184890656062,5.481509678620252
ID37706,37706,0,240.0,56.12658090790285,65.82996076663622,0.0,14.0,14,5.794110981300324,1,,276.64166666666665,261.0,109.0,575.0,66394.0,83.51176058619777,-0.13326153103010033,-1.018630497131492,0.08126771258864016,-0.08741993805251301,7.799051819386522,4.4399666344769635,0.2510594403209634,1.7565564026598288,105.46867540344269,51.70716508838278,0.4957148171344844,0.8921933085501861,5.034878350069641
ID37261,37261,0,230.0,56.55507209388216,66.67169135030484,0.0,21.0,21,5.672116034688815,1,,257.68695652173915,254.0,90.0,476.0,59268.0,72.5044031450018,-0.13428655530664438,-1.1025960221799342,0.07459089076490963,-0.08872825634219927,7.205042237426819,4.472980241429873,0.28795047863044876,1.6107923238050321,101.07414726163258,49.05551559667086,0.5278059242700163,0.9126984126984127,4.879415503128825
ID37265,37265,0,228.0,55.87944252325848,66.67212115619128,0.0,22.0,22,5.64740081457335,1,,264.4035087719298,260.0,125.0,474.0,60284.0,70.63035491976825,-0.16117709525076712,-1.4385960553178134,0.09900579927570673,-0.032566955339361464,7.3090872648810725,4.349674073669733,0.28111823495346977,1.680375849106906,100.1952416332705,47.729690850814876,0.552687596464871,0.9193548387096775,4.768316485434158
ID37521,37521,0,194.0,56.573078588637664,65.96661525450885,0.0,27.0,27,5.209332203020865,1,,255.10824742268042,238.0,115.0,638.0,49491.0,82.2682559799968,-0.14889573340623463,-1.0849798927645424,-0.0667925828638397,-0.12424361852110889,6.78088578881179,3.9187484571308526,0.11720430542024414,1.7303702605541762,85.25384595111619,47.72969085081489,0.4702692706762499,0.8940092165898615,5.169298742047715
