LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID45296,45296,0,93.0,170.4443163858646,131.32559825880236,0.0,7.0,7,5.4082033910562,1,,307.10752688172045,308.0,66.0,711.0,28561.0,127.34756124784536,0.6643498528473789,1.9252274491434838,0.03145383581639479,0.10533111575146813,7.5217086085879465,4.064326980455299,1.2205140116583912,1.8506652256963196,91.8873876953471,45.724009876386106,0.5523026782303417,0.9029126213592233,4.769977795759956
ID45299,45299,0,85.0,169.9857308345641,132.16694619511853,0.0,5.0,5,5.170362638971267,1,,251.4470588235294,241.0,70.0,502.0,21373.0,98.40810384292944,0.5526684805872052,1.8189956144396806,-0.15410962712707593,0.00574958981432671,7.393363053454203,3.6699842368939875,0.8787929458658896,2.014548994278901,83.98309628069364,49.700010735202284,0.4272566008882123,0.8252427184466021,5.423261445466401
ID45364,45364,0,105.0,173.7039041867103,128.40589440233978,0.0,12.0,12,5.74653678922137,1,,249.9047619047619,243.0,59.0,561.0,26240.0,102.67335470105067,0.6325862554737015,1.8862115103167696,0.24106488519154887,-0.049853579183905226,8.128406244388236,4.306625809143926,1.450612733519181,1.8874187367590236,103.74382481732756,53.67601159401855,0.4524927690355665,0.8300395256916993,5.269860393922081
ID45349,45349,0,89.0,169.38210400226274,132.5370848077842,0.0,6.0,6,5.290619705549707,1,,276.8426966292135,264.0,74.0,632.0,24639.0,118.97917110268467,0.6104996768859084,1.7640745072149195,0.008623112826066412,0.09301174966285727,7.995132444692991,3.711672086013107,1.01666261674297,2.1540513977033364,87.9352419880204,49.700010735202284,0.447362793871187,0.8855721393034828,5.299989400031797
ID45381,45381,0,119.0,173.64933162590475,129.0613219948942,0.0,11.0,11,6.117655575942304,1,,268.05882352941177,253.0,11.0,476.0,31899.0,100.00629591347237,0.6179748503433391,2.0475371736118184,0.04339416985876982,-0.09240923659288251,7.280398171852291,5.198675597625381,1.3480130710987013,1.4004332517262257,117.5763347929713,55.664012023426636,0.4768488849198792,0.8717948717948717,5.133511583357984
ID45398,45398,0,58.0,171.345071493292,127.81471726314983,0.0,14.0,14,4.270960340377039,1,,297.44827586206895,286.0,131.0,540.0,17252.0,100.12206101673276,0.5798372114647092,2.1807476576490172,0.03740979945529179,0.20374767281208003,6.9469933797393,2.741729067593531,1.4293136833932079,2.533800097847309,57.30611275623788,37.77200815875372,0.5047434180282767,0.8787878787878786,4.989644448669458
ID45305,45305,0,57.0,171.82252834173144,128.13883469552843,0.0,16.0,16,4.233981632754601,1,,263.719298245614,254.0,74.0,551.0,15032.0,93.1760534813312,0.4646985975469175,1.7959353190256873,-0.00670318254868142,-0.02115807204557911,5.557392754302999,3.3945880702132465,1.122222620855787,1.6371331776800493,56.31807632940618,39.76000858816181,0.4476769531365452,0.8444444444444442,5.298129428260177
