LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID45697,45697,0,171.0,136.75350322296578,140.80507134956574,0.0,1.0,1,7.333471306244418,1,,324.32748538011697,331.0,38.0,691.0,55460.0,135.3976639997185,0.6495819349406128,1.8865252641462393,-0.07965939551281774,0.02010137405925555,9.906594747382519,5.605629082767922,1.7629862279794604,1.7672583399847221,168.95422898821934,73.55601588809947,0.3924122306529255,0.8321167883211679,5.658921435473855
ID45763,45763,0,117.0,135.26049075472582,134.57233675993135,0.0,9.0,9,6.066028867448419,1,,408.44444444444446,418.0,96.0,841.0,47788.0,168.21002084035038,0.6580803480123448,1.9274560063411883,-0.08144199509540886,-0.07102663626173703,9.915696932348157,3.749591609063592,0.11402256187140081,2.6444738430659287,115.6002619393081,55.66401202342661,0.46883461794643716,0.8965517241379313,5.1772018314354655
ID45827,45827,0,105.0,144.01643110754927,133.1865621016309,0.0,20.0,20,5.746536789221372,1,,332.83809523809526,316.0,107.0,707.0,34948.0,128.03035425914283,0.5682375796199272,1.883944790963628,-0.04860805160028066,0.008510137846691045,7.918739659525633,4.436113035127273,0.8372668031934533,1.7850626430889496,103.7438248173276,51.68801116461043,0.48796927311675803,0.8786610878661087,5.074680379332371
ID45764,45764,0,140.0,134.29652900804612,135.2692292181492,0.0,6.0,6,6.635529124330096,1,,381.3142857142857,399.0,113.0,684.0,53384.0,150.33904539882036,0.6377317275125942,1.9753158330970388,-0.25354301576453164,-0.35127769138468495,9.23052623475257,5.045421125903794,0.2868339092054657,1.8294857861045428,138.32509975643688,59.640012882242786,0.48869219055841306,0.8917197452229303,5.070925528371095
ID45830,45830,0,123.0,143.1360309173793,133.0020775089334,0.0,22.0,22,6.219623525273765,1,,304.4634146341463,286.0,42.0,657.0,37449.0,114.2060470882492,0.5450342225975507,1.8808825548645711,0.17408346165886876,0.0987029219842519,9.05558439834784,4.345971134431908,0.7511702560920777,2.0836733881187084,121.52848050029793,61.628013311650875,0.40209770696310576,0.8541666666666662,5.59035173493808
ID45705,45705,0,157.0,137.07706145577941,139.65386456013948,0.0,2.0,2,7.026861086112842,1,,352.29936305732485,358.0,73.0,651.0,55311.0,129.46247179069232,0.658058283902323,2.1600436470886213,-0.13625503669258662,0.2122929456463377,9.442940180207607,5.630292573030431,1.6090817419558305,1.6771668714766397,155.12171901257577,65.60401417046711,0.4529201529968761,0.830687830687831,5.267373437486304
ID45706,45706,0,154.0,135.5003019953351,136.45557492894673,0.0,5.0,5,6.95940165788814,1,,363.31168831168833,375.0,76.0,718.0,55950.0,147.2675090062152,0.6411548966214002,1.9275951074886788,0.1288422082557394,-0.15946267374147535,9.245245062891426,5.548171401258351,0.4011408770953828,1.666358948606844,152.15760973208052,67.59201459987514,0.41851666838480006,0.855555555555556,5.479596155372581
