LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID46722,46722,0,260.0,64.61598021547026,65.79159057824816,0.0,9.0,9,6.030699914548606,1,,530.4230769230769,582.0,116.0,869.0,137910.0,195.73302932928507,0.2718774954366288,1.1585539600402741,-0.2650844787745029,-0.2762812932657706,7.376383360924047,5.318149819118913,-1.4420269638367453,1.3870206014892097,114.25765594455042,47.72968821422562,0.6302574372695217,0.9558823529411765,4.465251678579632
ID46724,46724,0,249.0,64.46210989701129,66.49366015190925,0.0,8.0,8,5.901748770613803,1,,563.1606425702811,604.0,207.0,870.0,140227.0,177.14245650424868,0.2756324429860236,1.37386609790667,-0.07039358924782588,-0.3153221591188395,6.892931908867539,5.318147052604052,-1.385834601390392,1.296115327516637,109.42367819305016,46.40385731603082,0.6385766110192579,0.950381679389313,4.4360703838327
ID46661,46661,0,221.0,64.4973461330802,64.45556540916625,0.0,10.0,10,5.560030597077329,1,,530.0814479638009,549.0,184.0,819.0,117148.0,149.9272328640048,0.2541300656951013,1.4328658901771258,-0.11981416498516909,-0.2965349240756603,6.645412374643921,5.068800742589278,-1.3498763457099352,1.3110423376495302,97.11900755286787,45.07803520688651,0.6005983613352271,0.9324894514767931,4.574175891027148
ID46728,46728,0,220.0,63.63042154272913,64.43215483628667,0.0,11.0,11,5.547437080120885,1,,581.209090909091,625.0,202.0,860.0,127866.0,169.25766450770718,0.26964299517460655,1.4585508408909842,-0.10103781764300639,-0.17621929375624448,6.498857433911167,4.915129597935813,-1.4988701256220758,1.322214868279458,96.67955503000411,45.07803520688648,0.5978807216911765,0.9341825902335457,4.584559958626907
ID46666,46666,0,206.0,65.08756791153702,66.62921786038407,0.0,2.0,2,5.368026546357369,1,,577.6941747572815,596.0,194.0,911.0,119005.0,177.2918461114564,0.44051710860242493,1.9928911615028562,0.028700005174162487,-0.1580087890193178,6.077029993665416,4.828033263468402,2.090538160913902,1.2586967947482097,90.52721970991298,43.7522043086917,0.5942773385081384,0.9342403628117915,4.598438125267383
ID46735,46735,0,223.0,63.14599381713863,63.19376640136191,0.0,13.0,13,5.585132442969268,1,,552.2914798206278,608.0,190.0,848.0,123161.0,170.97175961174761,0.30958927973733824,1.5273014363696829,0.001397092516020394,-0.12587905167340338,6.344189892900817,4.972658590767399,1.2491710648147187,1.2758144918052294,97.99791259859508,47.729683819700355,0.5405670553531461,0.9253112033195022,4.821477505157705
ID46672,46672,0,242.0,63.75451191782036,63.215078977649334,0.0,15.0,15,5.818201094297975,1,,540.4504132231405,580.0,204.0,843.0,130789.0,165.25390881132554,0.2651887253996416,1.370988623232861,-0.039076440400278016,-0.13304103005232756,6.773851516199513,5.150054258649177,1.16205589420582,1.3152971164960594,106.34751053300452,50.38132803798905,0.5264995079902524,0.9080675422138834,4.885465459795294
