LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID47168,47168,0,138.0,77.70470448376301,39.88528065205907,0.0,23.0,23,4.393600731741058,1,,421.4130434782609,434.0,148.0,759.0,58155.0,164.91049234527233,0.4356822960461455,1.550962326704171,-0.09300081178637147,-0.0669235740890982,4.938516709124172,4.185662025761374,1.296864824016845,1.179865139308722,60.64444815518445,34.47143636110573,0.641330881148261,0.9292929292929291,4.426534524259871
ID47105,47105,0,167.0,78.69984771226214,44.895502264978205,0.0,9.0,9,4.833250229762261,1,,581.6706586826348,590.0,198.0,917.0,97139.0,196.84916992501118,0.34797803354727586,1.52560667255293,0.05229336732437221,0.03331867614655182,5.813012519984392,4.1924685606980665,1.476817083519156,1.3865369378027004,73.38857131823049,39.774742375783944,0.5829395837267068,0.9252077562326869,4.642940934141671
ID47171,47171,0,141.0,77.68283230280767,38.83449262521472,0.0,24.0,24,4.4411004984759455,1,,439.177304964539,456.0,128.0,747.0,61924.0,178.01389527176738,0.41658845112329995,1.4510404215327681,-0.12274397965725804,0.03301506320963956,5.466427085209226,3.88785486600674,1.0958828600161097,1.4060265296949872,61.962805723775446,35.79726286477529,0.6076329232071237,0.9337748344370861,4.547621211174562
ID47108,47108,0,137.0,77.51220571672664,40.069960864553444,0.0,20.0,20,4.377652945063102,1,,501.6861313868613,510.0,169.0,812.0,68731.0,176.54076982155848,0.41674239233614335,1.6718367456362528,-0.016038714645627505,0.11687538139369953,5.305851115630348,3.8663723795421823,1.5690103214583597,1.3723073193117044,60.20499563232081,34.471440755630965,0.6366833935898056,0.9319727891156462,4.442660952861408
ID47111,47111,0,154.0,78.61952922536366,43.442341152705104,0.0,11.0,11,4.6413188546500574,1,,593.3571428571429,636.0,217.0,885.0,91377.0,182.31168737597395,0.42819902991411884,1.9515900942847848,0.005637632338732653,-0.06353145088060966,5.741173672153774,3.890995901621756,1.4783801030055235,1.4755023693961922,67.67568852100297,37.12308936844484,0.6170982647520235,0.9305135951661635,4.512609666927998
ID47116,47116,0,133.0,77.44097033750148,40.04394785895183,0.0,19.0,19,4.31327218910145,1,,556.609022556391,614.0,206.0,874.0,74029.0,185.9138703558829,0.43754245386752044,1.8225017933827896,-0.054892024561209785,0.07634789307399796,5.106903402823977,3.786312859155041,-1.5286435866116503,1.3487800910259806,58.447185540866194,34.471440755630965,0.6180940974265998,0.9268292682926829,4.50897299116709
ID47057,47057,0,182.0,76.44967101326989,47.17611229540676,0.0,1.0,1,5.045645550525283,1,,595.7912087912088,601.0,191.0,914.0,108434.0,219.64607475284382,0.5363652979910849,1.893942643466008,-0.23836017096656786,-0.0363032631171614,5.6229088875448685,4.696955618737268,0.3949560184134151,1.197139028760194,79.98035916118526,41.100551301352596,0.5949739064372137,0.9238578680203046,4.595745517613549
