LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID51395,51395,0,424.0,130.27183483343703,58.14714718222886,0.0,15.0,15,7.701308996830947,1,,1245.2287735849056,1159.0,361.0,3080.0,527977.0,465.51543107576,0.2712060305503731,1.1413752716963343,0.2193150348015682,-0.01050668182850665,9.072229661663158,6.866504990749646,1.8982441892312525,1.3212296028161343,186.32836377071825,67.61712795664818,0.5121243125968821,0.9137931034482757,4.953557801440609
ID51364,51364,0,394.0,127.79251324011973,57.90728493329981,0.0,5.0,5,7.42385928348841,1,,1796.8883248730965,1789.0,407.0,3987.0,707974.0,593.2147444593791,0.3608256146912566,1.6063272630381478,0.16527222554935633,-0.13912854743782824,7.976038460517837,7.618083938612196,1.1634192365548133,1.0469874741194898,173.14475312656376,68.94295533922521,0.45776165144757425,0.8687982359426677,5.239444307343027
ID51332,51332,0,452.0,129.3091495304622,58.604719181274284,0.0,17.0,17,7.951532491375028,1,,1469.0420353982302,1420.0,328.0,3612.0,664007.0,525.1862011714965,0.32815412229878393,1.382229957912351,-0.04164245221743861,0.005627626579333038,8.514989503164095,7.765477158969163,1.5699116605289325,1.0965185176456598,198.63306703859598,71.5946065887495,0.48696842053729206,0.9076305220883535,5.079892626910091
ID51334,51334,0,427.0,128.96224356770844,56.967032172158696,0.0,9.0,9,7.728506170343174,1,,1338.1007025761123,1259.0,282.0,3280.0,571369.0,505.3490837114043,0.26976808458488377,1.1251060842026466,0.06780069372291617,0.40321573586707776,9.27328780963243,6.99788146251653,2.354138454026332,1.3251564576084764,187.64672483513374,66.29130233188597,0.5365840394614206,0.916309012875537,4.839339120797314
ID51366,51366,0,443.0,130.39039773955685,58.9633262895084,0.0,12.0,12,7.871970965412858,1,,1364.9097065462754,1285.0,442.0,3469.0,604655.0,557.5048736435755,0.29752380758335245,1.1227721658725487,0.37426973855070017,0.23174914109152916,9.574025350342248,7.3712699603598475,2.3215920438019375,1.2988298355409666,194.67798384534953,72.92043309241906,0.4600745660543946,0.8967611336032384,5.226257688105718
ID51367,51367,0,423.0,130.63779139407816,59.25939048360777,0.0,14.0,14,7.692221903404428,1,,1457.9101654846336,1404.0,230.0,3270.0,616696.0,521.5741589506168,0.2788073655353292,1.218831885518586,0.23141989314323344,-0.06392535578999908,8.769791714936687,7.057193349297619,1.4440813034959212,1.242674145495747,185.88891008257968,67.61712619883347,0.5109164988011559,0.9235807860262001,4.959409485305148
ID51340,51340,0,506.0,129.5458264188266,57.14937292823691,0.0,2.0,2,8.41311603675658,1,,1893.7312252964427,1859.0,391.0,4049.0,958228.0,722.485327469831,0.39218642385440783,1.4767754556057329,0.6600054325254265,-0.3795613734953365,9.876586664843394,7.797681260353536,2.711962461014841,1.2666055889024121,222.36356619807404,78.22373998600465,0.4566635430656236,0.881533101045296,5.24573999614845
