LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID51650,51650,1,222.0,92.8676387346369,78.27442356559123,0.0,9.0,9,5.57260304228697,1,,323.3018018018018,313.0,121.0,622.0,71773.0,92.92834731283763,0.06367433102359102,0.41652936017440184,0.3538236919807061,-0.034980747993163426,6.459006545504353,5.2136037770418415,0.33559575389440127,1.2388756073000131,97.55871876682967,49.05556569439128,0.5094474299557321,0.9135802469135796,4.966554942061664
ID51619,51619,1,182.0,92.59301618823542,78.42763304332593,0.0,6.0,6,5.045652240169229,1,,347.4725274725275,340.0,146.0,753.0,63240.0,96.26257147253425,0.004839932806704274,0.034772463235048165,0.07249747071129828,0.009227099270119608,5.374529771096759,4.839549562795314,-0.573003041021733,1.1105433886686844,79.98057124127484,42.42643405494508,0.558369006789821,0.9099999999999998,4.743995626633394
ID51652,51652,1,269.0,95.32649593473187,79.09604283084202,0.0,13.0,13,6.134197582346772,1,,340.70260223048325,325.0,81.0,1014.0,91649.0,122.25261661544315,0.08077889972642623,0.4165895381018767,0.3262155366312602,0.20209497623630124,7.114608953387251,5.649245940551674,1.3099128691599746,1.2593909042473865,118.21304210935666,54.35886467781515,0.5027296530576935,0.8996655518394643,4.99962787520326
ID51588,51588,1,302.0,91.73232834095819,80.33751634699134,0.0,16.0,16,6.499576981871092,1,,314.77152317880797,301.0,83.0,787.0,95061.0,108.30394714463293,-0.022388880606709242,-0.13312125223109414,0.11785781963468155,0.018727953414064323,7.778632018418561,5.600970127435541,2.6393406397244963,1.3888008401109049,132.71501381793954,53.033045205403454,0.5929755544008023,0.9320987654320986,4.603482930067914
ID51622,51622,1,176.0,94.0546465066976,78.77734249879946,0.0,12.0,12,4.961785143272285,1,,339.8806818181818,325.0,133.0,731.0,59819.0,106.62265892437638,0.03146217988903121,0.19446545726647899,0.12237576939308926,-0.018280425976154483,5.559483474481335,4.438222287613354,2.0436422348077916,1.2526374557663125,77.34384911244159,42.42643141822293,0.5399613044503446,0.9238845144356954,4.824181213432903
ID51593,51593,1,190.0,92.20431641945108,79.6436880885639,0.0,1.0,1,5.155353155348429,1,,373.0842105263158,359.0,125.0,900.0,70886.0,134.8895423606379,0.0346437854267987,0.18522221369908662,0.01739085715097034,0.02346835664187151,5.277758151138878,5.189590595079403,0.4808487188855988,1.0169893085868995,83.4962007463858,41.100609309089094,0.6211264993636364,0.9290953545232271,4.497952894962594
ID51658,51658,1,183.0,93.36940105450914,79.88999711777998,0.0,2.0,2,5.059494933506632,1,,421.26775956284155,399.0,126.0,858.0,77092.0,128.2094757384519,0.06915041774540016,0.4250344112639421,0.17592180134693577,0.05119567965119107,5.86754385700395,4.633427759099756,0.7034392734260343,1.2663505642189994,80.42002492941369,43.752261437523174,0.5279260063906601,0.8840579710144922,4.878860535314419
