LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID51873,51873,0,236.0,35.30832346001743,40.29982915591478,0.0,4.0,4,5.745595278310572,1,,560.1779661016949,510.0,225.0,1493.0,132202.0,218.52104943084154,-0.01055681009112302,-0.054702173901925104,-0.038160183130755816,-0.0116088321558974,6.317198991674013,5.601403413748578,1.034382177890399,1.1277886138621125,103.70983288619519,53.0327270427639,0.46338490104534036,0.8550724637681157,5.207556525536653
ID51875,51875,0,241.0,32.87587826862163,39.52149699596729,0.0,0.0,0,5.806140630728847,1,,587.0290456431535,531.0,155.0,1751.0,141474.0,261.2726289775403,-7.029800386159936E-4,-0.003161142485000687,0.6361753624944179,-0.291462202268347,6.508548455810848,5.891755173464181,-0.4589854311313115,1.1046875276020696,105.90707510836039,59.66181649490197,0.37388831637949854,0.7914614121510671,5.797409594906071
ID51877,51877,0,251.0,32.432353657132,38.21368372510819,0.0,8.0,8,5.925375673078592,1,,526.8127490039841,480.0,153.0,1242.0,132230.0,214.94151948102706,-0.03661288691667334,-0.18629409922939585,-0.018771192387671783,-0.15965328468030224,6.258282225645881,5.9613150248383056,0.06987686684571204,1.0498157201171616,110.30155955269068,54.358544757412105,0.46908967477777286,0.8311258278145697,5.1757941472447175
ID51878,51878,0,223.0,32.17932009207868,41.00227771472607,0.0,3.0,3,5.585106525916956,1,,621.2780269058296,572.0,208.0,1650.0,138545.0,298.6287638005795,0.0311290460486967,0.1256137393913769,-0.03550040329718922,0.02933814178450631,6.546134377426214,4.824022504213805,1.3906731083074513,1.3569866997320466,97.9970031085658,50.381091613467454,0.48516282054320103,0.884920634920635,5.089336606953412
ID51881,51881,0,220.0,32.37707123612562,39.488301519110976,0.0,1.0,1,5.547411337988811,1,,599.2318181818182,561.0,194.0,1538.0,131831.0,239.4549669035105,0.027207548430474914,0.13256602074016988,0.14538483814653105,0.1260338847426799,6.630568966931653,4.8376353874760785,1.6350763141093732,1.3706218918641977,96.67865777526673,47.7294553052741,0.5332950099397519,0.9016393442622951,4.8542391885088945
ID51882,51882,0,299.0,33.80835172352983,40.28892221053823,0.0,6.0,6,6.467175157285088,1,,468.10367892976586,421.0,171.0,1227.0,139963.0,200.5436385417758,-0.006301994826454592,-0.029606480556398713,-0.3876290161275419,-0.25820227386454964,8.22427679144867,5.6170413916372635,3.0196795533087863,1.4641652460836585,131.39508488547608,62.313452803095316,0.4252314244780729,0.8271092669432915,5.4361603221459385
ID51883,51883,0,256.0,33.47689729486788,39.74348393306745,0.0,2.0,2,5.984102337758537,1,,645.95703125,589.0,230.0,2186.0,165365.0,286.27457358239036,0.06857278271863938,0.2895999713925777,0.14825342500554853,-0.14075287020884344,6.8450229655830706,5.492004133307765,1.5707825375677964,1.2463615830275057,112.49880177485583,54.358545636309,0.4784340751388631,0.8421052631578948,5.125000124295732
