LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID52384,52384,0,145.0,95.23968230488772,27.631943157197693,0.0,5.0,5,4.503643841102806,1,,2243.441379310345,2257.0,848.0,4095.0,325299.0,786.2639494952455,0.13003725283243006,0.6566763618623478,0.0534965009569273,0.04064228783888595,5.181270438424512,4.0076849759653435,0.4969374855620492,1.2928337605119484,63.72032012788959,38.44881567704054,0.5416539057913435,0.9090909090909092,4.8166378315169185
ID52388,52388,0,148.0,93.47935498367194,25.642995078175517,0.0,10.0,10,4.549994741513051,1,,1800.081081081081,1762.0,705.0,3444.0,266412.0,567.1859347141807,0.10942420375992976,0.6260548282962162,-0.10818629937357827,0.09499780571317924,5.438400540254361,3.959171999016686,0.2180714939376891,1.3736206816993708,65.03867157881146,42.42627936776889,0.4540583132141495,0.8757396449704135,5.260767593771434
ID52485,52485,0,155.0,93.70989992209546,24.24114430005193,0.0,9.0,9,4.656352884158782,1,,1801.4774193548387,1725.0,581.0,3501.0,279229.0,619.6118740686007,0.1276657743426671,0.6583141210601836,0.07941984249397786,0.2634662274693896,5.4705840365628005,4.156318781851723,0.37926939214036914,1.3162089636747127,68.11482496429576,41.100458137526104,0.5067084925144825,0.8882521489971339,4.9799598391954945
ID52456,52456,0,157.0,95.37890372596878,21.99005403536434,0.0,8.0,8,4.686297584306393,1,,1806.3057324840765,1735.0,698.0,3476.0,283590.0,615.0632410930205,0.11708694507320447,0.6156345458504098,-0.29915867325008594,-0.029763567915869333,5.74331833454311,4.1664953576396,0.2793044666206843,1.3784530742395475,68.99372593157705,43.752100598011666,0.4529201529968756,0.8579234972677595,5.267373437486307
ID52425,52425,0,128.0,93.92614778001195,22.052135931147475,0.0,13.0,13,4.231409159981492,1,,1671.640625,1634.0,635.0,2920.0,213970.0,502.11897034852035,0.0957378438342066,0.5817592055119006,-0.015579560425781756,0.04396816445642085,4.569454488275677,3.938547444765073,0.7547164425247634,1.1601877474776077,56.249661905999105,35.79717321655499,0.5516102327290722,0.8858131487889275,4.772970773009195
ID52426,52426,0,139.0,93.1604025595777,24.742304109710798,0.0,7.0,7,4.40948060965426,1,,1914.726618705036,1745.0,745.0,3537.0,266147.0,693.3744393377144,0.21200174694517182,0.9660623052072858,-0.07334165119050506,0.059239356886490464,5.419831509136552,3.6344857707758518,0.5262043280574724,1.491223752398839,61.08361722604589,39.77463690728332,0.4852015320544235,0.879746835443038,5.089133578079826
ID52400,52400,0,139.0,94.24299759290483,25.08091312894526,0.0,4.0,4,4.409480609654261,1,,2235.093525179856,2199.0,960.0,4095.0,310678.0,769.849269004497,0.12704373734845795,0.6545344136906823,-0.17142440595968683,-0.2712917322505993,5.626589807307119,3.7635256223035936,0.27560569371799987,1.4950316198095055,61.08361722604592,39.77463690728332,0.4852015320544238,0.858024691358025,5.089133578079825
