LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID52768,52768,0,190.0,16.988103164015858,51.281675540999196,0.0,1.0,1,5.1553719519483,1,,257.18947368421055,255.0,61.0,741.0,48866.0,107.36259038667211,0.2313889759483123,0.9002800093931539,0.047284777751184524,0.07981523526428282,5.648815818676993,4.768847374055233,0.35361039993313126,1.184524346367049,83.4968096076956,45.07825405534756,0.5163516531800095,0.8983451536643028,4.933238885495947
ID52771,52771,0,176.0,17.232057958654035,51.55667407323027,0.0,0.0,0,4.961803234116339,1,,280.85227272727275,262.0,62.0,613.0,49430.0,111.08905460011826,0.25646187307701024,1.0320723965520937,-0.10869120052059615,0.008362248260037093,5.430997564562087,4.594466514525708,-1.4990424185937112,1.1820735981841703,77.34441311028644,41.10075257153097,0.5753594681759452,0.9263157894736843,4.67342524132986
ID52773,52773,0,155.0,17.642128084587128,50.916115859504096,0.0,2.0,2,4.656386838613775,1,,266.78709677419357,260.0,85.0,559.0,41352.0,98.05564197604711,0.2093815116135347,0.9421005016561558,-0.0671856623334026,-0.027297577043156687,5.132865515049206,4.262429274718933,0.2756420055494846,1.2042113039840807,68.11581836417275,38.44910132204391,0.5790091887411095,0.9198813056379821,4.658672746598391
ID52774,52774,0,165.0,16.010433740528665,51.795725084908234,0.0,3.0,3,4.804245323222672,1,,244.62424242424242,233.0,63.0,681.0,40363.0,101.5225765781327,0.12896439602153534,0.5504988812475285,-0.0804849443384426,-0.16300786634436004,5.706691051492425,4.32778613072207,-1.1667830959340166,1.3186166966481523,72.51038729089355,39.774923431132294,0.5759587549736334,0.9065934065934068,4.670993252110062
ID52742,52742,0,209.0,17.775038766807665,52.4368596867726,0.0,4.0,4,5.406999718811602,1,,214.60287081339712,204.0,54.0,554.0,44852.0,88.78810228348968,0.13350988339746114,0.5693756036425562,0.10816669361340332,0.0035354089153986114,6.055430244620935,5.005024916153213,-1.1084692292108476,1.2098701497124709,91.84649056846516,45.078247024037275,0.567986995687326,0.9186813186813189,4.703657987454878
ID52744,52744,0,143.0,15.223896652030582,53.074887511973685,0.0,6.0,6,4.472508994842379,1,,214.76923076923077,201.0,60.0,569.0,30712.0,86.75988333582735,0.11537847345919593,0.5121363808900822,0.005910920145869042,-0.1733072022585972,5.093509446596145,4.081833383280099,2.7882545142012036,1.2478484465975628,62.84233565210774,35.7974395255914,0.616251875310185,0.9346405228758171,4.515707519271557
ID52776,52776,0,158.0,16.53514714401296,47.54523993353734,0.0,13.0,13,4.7012326906124295,1,,195.31012658227849,176.0,53.0,513.0,30859.0,84.02213098657566,0.11882474209136558,0.4937486071785784,0.017741973110780778,0.09579138758336056,5.0916138159686435,4.498594083383843,2.3840968371388644,1.1318233478266462,69.434189042189,38.449097806388764,0.5902159261352865,0.9186046511627908,4.614232459178176
