LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID54977,54977,0,266.0,76.98511160625688,49.7807977646607,0.0,12.0,12,6.099896115416452,1,,443.093984962406,421.0,138.0,1611.0,117863.0,169.05210372841728,0.19298269496712148,0.8479875840636114,-0.21613167058203586,0.12403663699366836,7.954877674722195,5.03415869204703,0.03522889423064135,1.5801801574688776,116.89468104483743,62.31382194196999,0.3782995601454573,0.8109756097560974,5.763509506638354
ID54978,54978,0,307.0,76.12268851749356,48.90442777704909,0.0,11.0,11,6.553160551253378,1,,450.4918566775244,439.0,91.0,1051.0,138301.0,172.6607494788372,0.20761311754912734,0.8971194796411147,-0.03663301471721111,-0.057998679725814566,7.328432023685426,6.024075491618727,3.0483170661432104,1.2165239353128037,134.9122822585154,62.31382282087739,0.4366088785282398,0.8515950069348127,5.3648631788603565
ID55043,55043,0,193.0,80.04071122754627,46.10853623124349,0.0,3.0,3,5.195893909300003,1,,416.9378238341969,391.0,74.0,959.0,80469.0,176.69384500878812,0.2183134099447117,0.8456706500244088,0.34537472235965055,-0.1829977694286357,7.526777488336997,3.7050616545027735,1.8720405446961512,2.031485084516658,84.81456181072787,51.707220459502025,0.3986372711287664,0.8502202643171802,5.614563285297842
ID55044,55044,0,242.0,75.41591999034615,49.997903605323806,0.0,10.0,10,5.8182088082129635,1,,499.24380165289256,475.0,124.0,1297.0,120817.0,214.871867789225,0.2661480401936126,0.9767915719605484,-0.22930858986412542,-0.3261116483893927,7.535079686662725,4.702863156151664,0.9113421889173409,1.6022323925811728,106.34779252951377,53.03304168972734,0.4751659046050876,0.8979591836734692,5.142594687038754
ID55015,55015,0,190.0,82.26399100169041,43.849967100312746,0.0,0.0,0,5.155353155346165,1,,398.8263157894737,376.0,91.0,909.0,75777.0,169.4941316962817,0.23287595134861924,0.8889235187408608,0.2036664433514775,-0.1855208072786837,7.886574444020574,3.5689680037111624,1.8357903843532224,2.2097632805392995,83.49620074631247,49.05556920997769,0.4360135036837859,0.8796296296296298,5.368524779834807
ID54989,54989,0,137.0,79.25921070658543,50.58463601956736,0.0,6.0,6,4.377658749063704,1,,710.8467153284671,673.0,197.0,1370.0,97386.0,253.49132397587766,0.2509435572283633,1.125074268908139,0.01873236583680504,-0.11168046186826279,4.63508052186235,4.383658359568693,-0.7420707952383282,1.05735441534691,60.20515527497267,34.47147679070521,0.6366837507236442,0.9351535836177473,4.442659706854438
ID54996,54996,0,188.0,79.83162804419057,46.04426192797073,0.0,4.0,4,5.1281479356029545,1,,549.7606382978723,507.0,116.0,1407.0,103355.0,255.71397612714907,0.30169110713961517,0.9965606701232286,0.09033467123439264,-0.24555184018690115,8.099834007848187,3.4690996525186204,1.7631170745798932,2.3348519267722914,82.61729337003548,55.68469909160336,0.33481821182174754,0.8156182212581341,6.126330126390929
