LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID55456,55456,0,209.0,77.31667052087039,103.82666801638636,0.0,8.0,8,5.406980004771343,1,,785.8229665071771,721.0,143.0,1993.0,164237.0,322.31767691924546,-0.03658429088296078,-0.18516184808191855,-0.0324883834156102,-0.10439743162031691,6.9648884606937225,4.482117241011355,1.3998535792486324,1.5539282187812986,91.8458208210244,49.055560420947046,0.47961502591281896,0.8654244306418218,5.118686619919604
ID55489,55489,0,98.0,75.38952132057732,110.32755920873083,0.0,0.0,0,3.7024965143189648,1,,1172.857142857143,1038.0,407.0,2766.0,114940.0,512.8689469065474,0.0455003073740837,0.19904848396434954,0.08648879907625329,0.018215190396506414,4.39879546729861,3.1997142343635248,1.8799477969324585,1.3747463508014184,43.06646143760948,30.493995521908573,0.5819965215780664,0.915887850467289,4.646701102263512
ID55425,55425,0,163.0,75.65756686533902,104.8336947053052,0.0,4.0,4,4.775022503935311,1,,936.5828220858896,840.0,335.0,2186.0,152663.0,400.9168014419032,0.007246519319789147,0.033613644762344144,0.015356740867152009,-0.009195824465829068,5.892246902612209,3.9300673502938435,1.4027170772269277,1.499273772540223,71.63095116663624,43.75225352735677,0.4702293451208384,0.8467532467532468,5.169518191072735
ID55474,55474,0,108.0,75.69492260163368,108.12837371758516,0.0,1.0,1,3.8868116719349057,1,,1248.9444444444443,1130.0,266.0,3392.0,134886.0,597.1933864419204,0.032597243114558486,0.13204076656083621,0.0456900517882249,0.07992331959098899,4.760805710402098,3.268454093885376,1.9433672011863892,1.4565924971406554,47.46099831899826,33.14564765034265,0.5428673400943518,0.9037656903765685,4.811251669149735
ID55426,55426,0,147.0,77.9712770230453,105.01975061732581,0.0,3.0,3,4.534613617257389,1,,1047.5578231292518,878.0,309.0,2879.0,153991.0,545.220517524309,-0.0588198075153319,-0.24015223332287547,0.0849409514911828,-0.04142959055434441,5.250596871379677,3.9139503183274322,-0.7327870218722696,1.3415083085733803,64.59969215641428,39.774781926511,0.5131268000858255,0.8909090909090907,4.948716593056382
ID55458,55458,0,137.0,73.71890574298253,102.97884029673943,0.0,5.0,5,4.377658749065627,1,,897.3722627737226,833.0,220.0,2226.0,122940.0,416.84873486002215,-0.18012842182073618,-0.94593340424397,-0.3018438548703046,0.23304314874177187,5.493040550320073,3.87062490265003,-1.1108338172220198,1.4191611660843841,60.20515527502555,41.10060139892272,0.4478650693005355,0.8643533123028393,5.297016628299301
ID55411,55411,0,111.0,75.25563444985032,101.76600751975664,0.0,7.0,7,3.940425400061903,1,,793.8738738738739,751.0,201.0,1670.0,88120.0,320.80285980127246,-0.2832593384384088,-1.9559847636946595,-0.06688382139123737,-0.1336863898995106,5.353079200592194,3.2639153192850747,2.1864334023415206,1.640079069748883,48.779359383414864,34.47147503292075,0.5158533104952626,0.9024390243902437,4.935621200389914
