LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID56768,56768,1,250.0,44.552630811371266,33.02057521507926,0.0,13.0,13,5.913527034792255,1,,631.984,591.0,196.0,1459.0,157996.0,253.56822181903206,0.04598397214508763,0.21914052991239058,-0.07362340463664487,0.04939193995824654,6.623020928728325,5.249800565671002,0.8841156780363725,1.2615757200448632,109.86087303310293,49.0549926535906,0.5737021532675016,0.9225092250922513,4.6801706855035645
ID56771,56771,1,202.0,43.443358248909995,32.83672108137323,0.0,22.0,22,5.3155996847867355,1,,550.3168316831683,510.0,178.0,1270.0,111164.0,226.73259638293882,0.04932960962738542,0.22820469822609124,0.2604132400067149,0.06121793499135581,6.893743797944571,4.391128839835331,0.8056023624287697,1.5699251944980708,88.76758541074713,49.05499265359061,0.46355133984014085,0.8820960698689957,5.206621551163313
ID56772,56772,1,261.0,44.61031639016041,33.36616917929388,0.0,12.0,12,6.042224199649702,1,,702.2260536398468,633.0,171.0,2101.0,183281.0,319.71719271662124,0.08202315170845116,0.3329974000162126,0.06766091699833812,-0.2817587708551796,7.042540018650601,5.445541159726744,0.8979358399946861,1.29326724600572,114.6947514465594,55.68404870785313,0.46482748445787575,0.8729096989966552,5.199469468967735
ID56773,56773,1,167.0,44.81566582289355,32.15679936409477,0.0,7.0,7,4.833200567960551,1,,629.3473053892216,572.0,172.0,1695.0,105101.0,279.8110147108914,-0.010950483351718783,-0.04980475642954646,-0.19147563050888525,-0.030376476106022968,5.164233605933384,4.594481848260606,2.7587632360901404,1.1240078373339262,73.38706318611273,41.10013382579064,0.5459374670479851,0.8954423592493295,4.797704349504069
ID56776,56776,1,209.0,46.16240923903869,31.84476744131102,0.0,18.0,18,5.406917279250625,1,,614.5311004784689,561.0,172.0,1695.0,128437.0,268.1095324375455,0.045334249336815645,0.19880754215355984,0.004303302620700991,-0.1609584225560617,6.774091997318903,4.615376359472671,2.3069640449831983,1.467722558186539,91.84368985567406,49.05498738026872,0.4796151032471165,0.8800000000000001,5.118686207244892
ID56780,56780,1,248.0,44.41474622607242,32.48497014814881,0.0,14.0,14,5.889825428252447,1,,673.891129032258,633.0,186.0,1836.0,167125.0,282.33429851032855,0.10359988291593608,0.4481296853040905,-0.06016122555371991,-0.04081229582076739,6.786567336123402,5.129964438497917,0.859408871096831,1.3229267799974356,108.98198604883808,49.054997926912506,0.5691124136842696,0.9340866290018834,4.699004951583527
ID56750,56750,1,322.0,45.26499607271028,29.025726168742366,0.0,0.0,0,6.711267016345713,1,,641.2670807453416,585.0,152.0,1925.0,206488.0,289.88455662817523,0.03291356215137935,0.14097911183093162,-0.02504823251462074,-0.3681236999895424,7.70084781524077,6.14878545404218,0.9091948213517549,1.2524177128636471,141.5008044666365,67.61632640290924,0.38892479304227967,0.8245838668373877,5.68423621670448
