LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID58176,58176,0,207.0,23.75574079589222,53.461873431503015,0.0,2.0,2,5.381004291817871,1,,1209.657004830918,1108.0,361.0,3299.0,250399.0,599.8745687959048,0.3518889898985335,1.049775510317204,-0.02337778072891051,-0.3312392149080242,8.84449939282124,3.406281072564482,0.8364617930293744,2.5965265943724645,90.96546618675782,64.96496342962082,0.2708494867574107,0.7554744525547445,6.8114711817430305
ID58210,58210,0,221.0,22.001887458986833,46.226674988967986,0.0,11.0,11,5.559993739210442,1,,854.4253393665158,774.0,236.0,2384.0,188828.0,421.94426612840033,0.2739001083631053,0.8707748060630449,0.038235886923791006,0.3863980465726198,9.364346526175169,3.6277763424865626,0.8615743115043967,2.581291028475208,97.11771993851922,64.96496958187456,0.2891677547642606,0.7607573149741826,6.592194317613635
ID58179,58179,0,331.0,23.626298141864456,48.8249720423512,0.0,19.0,19,6.8044364539693465,1,,667.534743202417,628.0,188.0,1776.0,220954.0,273.08970859548543,0.2075990170941209,0.8404290933693108,0.2044578014588773,-0.11426283835072112,9.30637272379691,5.157990019513775,0.6509536624911729,1.804263422106076,145.45685655950163,68.94240690574865,0.38456626047804143,0.8306148055207025,5.716356983280238
ID58212,58212,0,197.0,21.472104537767052,50.12872991888745,0.0,23.0,23,5.249419483040162,1,,1149.781725888325,851.0,264.0,3999.0,226507.0,817.6159520034303,0.2958106753591234,0.6420492321119001,0.058301486313370975,-0.076809140080517,7.366426828993992,3.9126122364966816,0.889754351858093,1.8827387902844739,86.57099922121394,55.68425173156622,0.350846798613298,0.8418803418803416,5.984752199000519
ID58213,58213,0,356.0,21.72693759127483,46.91945379432075,0.0,9.0,9,7.056724534457092,1,,1095.8398876404494,809.0,224.0,4095.0,390119.0,768.820376599708,0.4251962587892644,0.8504856215100692,0.016775421960671874,-0.40205398458053393,9.590434791992855,5.7925988176014656,0.6455026083090457,1.6556359406163665,156.44302397336128,84.85219311476757,0.2730485802421744,0.7370600414078677,6.7839864320589625
ID58151,58151,0,241.0,23.336499485302827,53.38757900854196,0.0,0.0,0,5.8061290839371384,1,,1614.98755186722,1499.0,397.0,4093.0,389212.0,842.4245242222387,0.41095221173835433,1.116727448658837,-0.4948316440290585,-0.5951328606761621,9.394850196793431,3.611856181486955,0.9122738533704636,2.6011141431787825,105.906653869607,70.26823165154754,0.26953493436944614,0.7554858934169286,6.8280611366016775
ID58247,58247,0,185.0,23.746375806588897,54.473227727224064,0.0,3.0,3,5.087026850071936,1,,1414.0864864864866,1229.0,386.0,4095.0,261606.0,738.646524483538,0.34172569496993704,0.9751764561573885,-0.22895863772566782,-0.32671302254383405,8.135350268064759,3.365412101478144,0.8644688522018514,2.417341479366399,81.2976388625613,62.313332394784325,0.26310302559035403,0.7226562499999997,6.9110177888660305
