LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID61123,61123,0,236.0,36.550285001212416,50.2238060436159,0.0,7.0,7,5.745627653435214,1,,3475.6991525423728,4095.0,603.0,4095.0,820265.0,894.4359726138376,0.12488798574158734,0.8628480044029364,-0.3549557836769983,-0.0522310684241918,7.418296419401211,4.7841528428010935,1.0314859454471528,1.5505977052058064,103.7110016522023,49.0555129613086,0.5415755507066305,0.9165048543689314,4.816986254202338
ID61191,61191,0,58.0,40.17501539680262,60.164733417425985,0.0,26.0,26,2.848363902708254,1,,1371.7758620689656,1346.0,558.0,2588.0,79563.0,432.9327585690719,0.2137569874359521,1.116043906871078,-0.1584730196984881,0.09577628160489492,4.026750370015154,1.9699409690181866,-0.5857759627938676,2.0440969721148936,25.488297016219228,26.516526558498086,0.4555304515944234,0.8405797101449273,5.2522600998936975
ID61129,61129,0,171.0,39.24387127845851,53.862349528408984,0.0,18.0,18,4.890795813011289,1,,2532.2105263157896,2451.0,369.0,4095.0,433008.0,970.7053664007085,0.15162904846384997,0.6869295097557983,-0.04903903761138087,-0.33951691268251694,6.222877532689374,4.2118151720338926,0.11234899648396497,1.4774811520716224,75.14653085816357,49.05556921134341,0.39241189316954983,0.7880184331797233,5.658923868875506
ID61131,61131,0,177.0,36.250661802104375,51.23876886522838,0.0,10.0,10,4.975859508561269,1,,3337.937853107345,3610.0,1010.0,4095.0,590815.0,863.0625448616632,-0.032025287676633644,-0.2559145630471857,-0.1756015790909832,-0.5481513728632773,6.622204283150024,4.33930654173625,1.242842835720652,1.5260973658939379,77.78325123915178,46.40388983672707,0.4539282189241204,0.8634146341463416,5.26152139885254
ID61195,61195,0,61.0,40.07926914365979,62.617760131204825,0.0,30.0,30,2.9210997936456753,1,,1485.9180327868853,1528.0,575.0,2524.0,90641.0,472.9262907713339,-0.04604054459362505,-0.3032787113941543,0.01663120748113259,0.03130224758169188,3.8247428629028755,2.2217556699483394,0.7350898632823789,1.7214957137891804,26.806657206713314,26.516512495989375,0.479092879658969,0.877697841726618,5.12147519738786
ID61072,61072,0,219.0,35.773265591881334,49.875600378636825,0.0,0.0,0,5.534820412582095,1,,3026.502283105023,3295.0,499.0,4095.0,662804.0,1100.873074596207,0.21387776853361848,0.9687783804697038,-0.46277294512865097,-0.5423743414908213,7.146916988290134,4.759745782776292,0.37143604783277806,1.5015333411612246,96.24029390606914,55.684718429103796,0.3900270683826134,0.7877697841726617,5.676198279003176
ID61202,61202,0,54.0,41.100812337668,60.8526182241028,0.0,27.0,27,2.748389979485717,1,,1579.4074074074074,1577.0,767.0,2741.0,85288.0,404.5476634706555,0.20842284319516013,1.3467310049859573,-0.29813568965861065,0.18593632811747668,3.724640118729725,2.1362043715083368,2.4138822895980856,1.7435785491347073,23.730483428893745,29.168163745588316,0.3505082712584245,0.7105263157894733,5.987641593554194
