LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID63072,63072,0,231.0,100.43859862088938,13.668612723565467,0.0,3.0,3,5.684437116146602,1,,851.9653679653679,799.0,292.0,2003.0,196804.0,316.7123899152704,0.017818710798594588,0.09418738345547391,0.09175994504943999,0.010957416158331323,6.9238012189106755,4.781585233016845,-0.5877739320487275,1.4480137614408355,101.51373466536889,50.381377256678604,0.5025677297075843,0.900584795321637,5.000433230630328
ID63105,63105,0,261.0,101.42071496882396,17.855444031925284,0.0,10.0,10,6.042292292596299,1,,698.919540229885,633.0,257.0,1648.0,182418.0,263.11851168937915,-0.0479491469987123,-0.2675632813386998,0.013603372184229167,0.12507713849449265,7.095879998899335,5.264087444569163,1.9469225587016528,1.3479791271742627,114.69733656996232,51.70719409237517,0.5390899735926906,0.9094076655052266,4.8280783002083165
ID63046,63046,0,283.0,102.39088466408333,15.300850704811662,0.0,7.0,7,6.291796888418594,1,,743.8621908127209,698.0,229.0,2097.0,210513.0,307.1169737269689,0.01935066502104379,0.09195830236512002,0.060012905383876956,0.03527044526946115,7.528096937802483,5.348917457186276,-0.9908982929486665,1.4074057036884122,124.36531129999754,55.6846692088551,0.5040084724992769,0.9085072231139648,4.993281075040381
ID63144,63144,0,257.0,100.99245040871644,15.840241959038162,0.0,5.0,5,5.995812430877861,1,,835.1945525291828,789.0,253.0,2312.0,214645.0,299.8479710644365,0.04085644467248845,0.2186685223623097,0.03213215774371956,0.02933364315067075,6.979645473137482,5.168378592099007,-0.6768558407555775,1.3504516646298688,112.93952298268316,51.70720112362953,0.5308279139223578,0.908127208480565,4.865506485513821
ID63112,63112,0,265.0,101.60340560526807,19.732261627375266,0.0,11.0,11,6.088417330642485,1,,681.7962264150943,621.0,192.0,1792.0,180676.0,279.78427157735257,-0.0262988581197945,-0.13163534172346097,0.1452672011569478,-0.05092080661831953,7.154577710941404,5.322971806283165,-1.4007143613892845,1.3440946094240507,116.45515015724139,54.35884182627705,0.4952542072660936,0.9137931034482757,5.037219143594624
ID63084,63084,0,226.0,103.35880415908102,21.192649200708892,0.0,15.0,15,5.622580681840077,1,,550.8053097345132,517.0,197.0,1195.0,124482.0,204.2144780331406,-0.059419244218585576,-0.3407788396468996,-0.0334735184527608,0.22168341542997874,7.489095352719244,4.523936393388412,-1.2170285086193653,1.6554378093521203,99.31646768127013,50.38136319416991,0.4916899148020599,0.8986083499005965,5.055443741499957
ID63053,63053,0,305.0,102.62555987408219,14.88617649958506,0.0,6.0,6,6.531777707566229,1,,753.8098360655738,698.0,222.0,1779.0,229912.0,290.1709056886936,0.043803330793544946,0.21803508699384383,0.027632043653080113,0.013737840050448214,7.079895199557698,5.98886854393254,-0.5022734734255603,1.1821757561752633,134.0332860300326,55.68467975573666,0.5431891373888622,0.922844175491679,4.80982631190694
