LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID65282,65282,0,277.0,21.691789886794545,19.27452404980293,0.0,1.0,1,6.22470081235039,1,,624.8628158844765,530.0,165.0,1876.0,173087.0,325.944918365027,0.19531171109016238,0.6264949476092305,0.1767734223251456,0.10419311032366149,7.419731872044222,5.375006187009732,0.8947020343165053,1.380413643053317,121.72697702798749,55.684296555744524,0.4933228427860903,0.8906752411575564,5.047069896371884
ID65283,65283,0,256.0,20.45702082468786,19.87681553320826,0.0,3.0,3,5.984096387437823,1,,701.25390625,576.0,167.0,3357.0,179521.0,437.64883629029566,0.18088531537317287,0.4908797315690899,-0.08676235577265476,-0.07215254087864777,6.944763574448838,5.174240122673828,0.7590066629462073,1.3421803800748386,112.49857804752637,53.032673430939255,0.5026548245664153,0.9014084507042256,5.000000000039548
ID65284,65284,0,270.0,19.256338522257344,20.019754592279796,0.0,4.0,4,6.145546083159131,1,,676.0962962962963,578.0,171.0,2567.0,182546.0,364.36086271194716,0.19689298568151772,0.6104944971025248,0.3025880488616714,-0.03298101490033414,7.508963764546246,5.268159859673539,0.6511440523045837,1.4253485020501193,118.65084403450042,54.358484993341875,0.5045985609941189,0.8999999999999999,4.9903605954111265
ID65285,65285,0,252.0,18.524681136099904,18.54294782415907,0.0,5.0,5,5.937161573475187,1,,700.75,608.0,198.0,3024.0,176589.0,393.0012684609964,0.17408359174001584,0.5287592402625778,0.1242952565836989,0.0828759350027574,7.542400219205999,4.882140720437888,0.7847456603606154,1.544896112402411,110.74078776553372,54.358484993341875,0.4709586569278442,0.8826619964973729,5.165513963388634
ID65286,65286,0,239.0,18.395088342772347,19.762358539997443,0.0,6.0,6,5.781992819920588,1,,708.18410041841,632.0,246.0,2240.0,169256.0,360.1199257505918,0.185342494831868,0.6149788304218677,-0.06478058928252654,0.002531136600826581,7.5497903245258495,4.571657602037901,0.7480765450599265,1.65143389591565,105.02796934905777,53.03267343093924,0.4692754026225517,0.8868274582560295,5.174769818866138
ID65287,65287,0,244.0,17.838827804593564,18.449971967779305,0.0,7.0,7,5.842160858822554,1,,736.0860655737705,633.0,157.0,2604.0,179605.0,406.4190968374499,0.22907014470283515,0.6751127444836992,-0.014523090895943454,-0.06302508433561806,7.487478639832672,4.68737418831677,0.7366057908838004,1.5973716496743808,107.22520720154853,53.03267343093924,0.4790928796648646,0.898710865561694,5.1214751973563475
ID65288,65288,0,239.0,17.352182248550033,16.96927853301114,0.0,8.0,8,5.78199281992059,1,,675.9581589958159,574.0,146.0,2683.0,161554.0,429.42738687107015,0.17352593802466426,0.4655129633820007,0.4985747330602732,-0.2424760098590521,7.499631362694929,5.22226139203165,1.136106550839171,1.4360888511130805,105.02796934905783,63.639197570385406,0.3258858042818736,0.749216300940439,6.209722753519822
ID65289,65289,0,280.0,22.889371698584576,19.00172071400635,0.0,0.0,0,6.258317802870245,1,,677.9428571428572,602.0,179.0,2484.0,189824.0,364.5740436209496,0.21912893095919161,0.6684784668203386,0.11381584298434576,0.09056739858018063,7.574013040477594,5.3663986521243165,1.0519504130344621,1.411377262753184,123.04531973948198,58.33591968054979,0.4543629024419466,0.8917197452229304,5.259003979527873
ID65290,65290,0,195.0,18.711089458283016,15.093854710430008,0.0,9.0,9,5.222709899952019,1,,778.7538461538461,693.0,253.0,2998.0,151857.0,411.3610435713627,0.1963191752609338,0.6213305333914528,0.300372836321489,-0.34013635059823716,6.736204836693043,4.269894169697719,1.8863160768547411,1.577604635847432,85.69227624713918,50.38101866590891,0.42424590056440503,0.8590308370044051,5.442470764093565
ID65292,65292,0,277.0,22.000510197407603,21.086147430197894,0.0,2.0,2,6.22470081235039,1,,709.5523465703972,626.0,190.0,3122.0,196546.0,370.3460802684407,0.24454549786577257,0.7529316918779082,-0.16748993960130587,-0.1964932793259888,7.625868256226974,5.189165736207527,0.9478968159099653,1.469575003746228,121.72697702798749,58.335930227291485,0.4494945659560116,0.8964401294498382,5.287406603624229
