LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID65441,65441,0,246.0,22.945823829342864,16.59699620076729,0.0,4.0,4,5.866064998599675,1,,968.0284552845528,970.0,188.0,2086.0,238135.0,312.65367683104495,0.2664453900854773,1.302795716907822,0.16185021279750214,0.029005234338436596,8.621531125124303,4.024622330429101,1.1994332957141616,2.1421963149036856,108.10446065733444,59.661860439777854,0.3816452791701254,0.8381601362862009,5.738190797960465
ID65443,65443,0,233.0,23.25303726404349,13.34923812168105,0.0,9.0,9,5.708963650309481,1,,892.9613733905579,853.0,307.0,2198.0,208060.0,287.49903037587995,0.26960262193194456,1.3191147766464713,0.01584066281673813,-0.2940301705740854,8.71411401723388,3.8262001237158616,1.4366361778482275,2.277485164255094,102.39162330552409,53.032765714256115,0.4574943543596202,0.8842504743833015,5.240974690930097
ID65447,65447,0,242.0,21.585641564329627,16.074191455158147,0.0,6.0,6,5.818177952645058,1,,852.4338842975206,831.0,235.0,1653.0,206289.0,280.81092886184496,0.26628866671504303,1.2767229272223473,0.10591844000763745,0.2292188156256118,8.944878890195808,3.690489723953477,1.3050903890309253,2.4237647464883088,106.3466645490851,57.01022413158566,0.41117645743669595,0.8736462093862811,5.528289934160729
ID65449,65449,0,230.0,22.04029301052071,14.751182739052519,0.0,5.0,5,5.672091594041089,1,,923.2478260869565,921.0,175.0,1723.0,212347.0,283.36608070470146,0.23436150815002202,1.2372126153628253,-7.422566920283082E-4,-0.058522689664495496,8.312151674871956,4.056451366388359,1.1876137236030737,2.0491190264836425,101.07327622433712,55.68440290134639,0.4096180380318777,0.8646616541353386,5.538796326212588
ID65450,65450,0,229.0,22.63733930463498,14.462432498528573,0.0,8.0,8,5.659747528061989,1,,895.0480349344978,897.0,271.0,1646.0,204966.0,275.0693730011156,0.24581257046408486,1.284060484166511,0.023741900960201526,-0.2053645112355199,8.389385309938698,3.938812949069291,1.4593534948511915,2.12992732034179,100.63382719727478,53.03276571425616,0.44964037402726564,0.8740458015267175,5.286549241703949
ID65452,65452,0,280.0,20.853232449902524,13.906899252019995,0.0,10.0,10,6.258328174567153,1,,773.5392857142857,743.0,257.0,2092.0,216591.0,282.2215477870714,0.20228482559266064,0.9223125985264968,0.011508438455386719,0.1798591750419195,7.382994359992294,5.258724147778548,1.3987653918223049,1.4039516339930296,123.04572757745382,54.3585834289032,0.5232872358399838,0.9061488673139154,4.90043757558623
ID65456,65456,0,194.0,21.35661394241493,15.458781683847725,0.0,11.0,11,5.209309756467853,1,,792.0618556701031,795.0,192.0,1497.0,153660.0,267.04113961582,0.06387154090486503,0.3561468635904117,0.012615817602184198,0.05028685760919837,6.368378789268053,4.417643728644108,1.90496610468996,1.4415781761610453,85.25311125009304,45.07784887959709,0.5272222554189131,0.9044289044289043,4.882115668977406
