LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID65953,65953,0,162.0,90.01280123864008,36.83245954757778,0.0,3.0,3,4.760340038501449,1,,1032.5802469135801,1055.0,351.0,1768.0,167278.0,305.229975986849,0.10404475319808526,0.6376173590345446,-0.29959462506143875,-0.029374586853794002,5.658570133018162,4.207626415755728,1.177652519115578,1.3448366308922488,71.1911199298275,39.77467118448923,0.5654868275926312,0.9152542372881355,4.714044582913903
ID65985,65985,0,197.0,86.29296254845059,35.73660270349828,0.0,5.0,5,5.249447322223499,1,,967.9390862944163,973.0,251.0,1788.0,190684.0,363.6767548041464,0.0234396389639257,0.12191332170495345,-0.41134055985403645,0.005476057963128002,6.693861115606128,4.514007562043091,1.0266195662301094,1.4829087066430193,86.57191744553091,49.05543034302124,0.4520773210755262,0.8347457627118646,5.272281274033665
ID65988,65988,0,181.0,92.58059588062216,35.9839601854563,0.0,0.0,0,5.031758122456516,1,,1048.0662983425414,1052.0,242.0,1974.0,189700.0,388.43663293043403,0.10429743222327031,0.5096665424080707,-0.18804250001821837,-0.08686875467231603,6.871274800640352,3.9387491431758535,1.4348929239737593,1.7445322235221035,79.54069572406647,45.07795610546031,0.49189319756202565,0.8765133171912836,5.05439901191186
ID65958,65958,0,201.0,84.59218000851838,34.989147839914594,0.0,10.0,10,5.302473388454915,1,,828.8308457711443,810.0,189.0,1550.0,166595.0,312.1893676020711,0.12601010487152,0.5942112613368427,-0.3468525782337859,0.021038687949132228,6.895427530437239,4.757256679061377,0.7068623566474207,1.4494545902445883,88.32972287589702,49.055435616437535,0.4612564568518772,0.8154158215010141,5.219557697630676
ID65960,65960,0,170.0,88.56113483035983,37.462248702771596,0.0,4.0,4,4.876462957421715,1,,979.8235294117648,964.0,312.0,1950.0,166570.0,333.8916550513254,0.11226365129096126,0.5923845370161631,-0.07619666319061517,0.06033205149734222,6.023083828975104,3.9251302347098496,1.1961745583575432,1.5344927349704456,74.70673079055966,43.752140148633835,0.49042318426678505,0.8923884514435693,5.061968468808383
ID66027,66027,0,213.0,83.70741484861949,34.658087370853394,0.0,11.0,11,5.458461740700563,1,,813.3333333333334,800.0,186.0,1576.0,173240.0,300.4174087779459,0.08998596951275814,0.44702042170055756,-0.28049458764185725,-0.04246810392261855,6.701444687726203,4.757983602910853,1.037691117015195,1.4084631741114815,93.60313916699538,50.38125420997218,0.4634067210907214,0.8385826771653542,5.207433922160223
ID65994,65994,0,181.0,86.87808825398638,36.452758852504076,0.0,7.0,7,5.031758122456516,1,,856.353591160221,851.0,298.0,1799.0,155000.0,307.5452935943451,0.03153721027311282,0.17025991358600442,-0.18403048837850897,0.03245042338925182,6.139775901457125,4.487173070614134,1.1936187299561354,1.3682948718126462,79.54069572406645,43.75214014863386,0.5221564491311056,0.882926829268292,4.905740921769463
