LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID66688,66688,0,179.0,181.51231451914566,88.7153931084082,0.0,13.0,13,5.003891083056212,1,,646.2737430167598,568.0,227.0,1798.0,115683.0,285.4794467757999,-0.016946658983393335,-0.078051035205975,0.09537952612214141,0.020112704854597322,5.328336053879064,4.925440102256901,1.1348707775061133,1.0817989749662271,78.66210588455337,39.77475292258856,0.624827955054613,0.934725848563968,4.484610259223352
ID66595,66595,0,195.0,182.4031309086875,86.9944429622394,0.0,6.0,6,5.222742790814813,1,,695.7384615384616,665.0,229.0,1407.0,135669.0,245.83226682026933,-0.002135393970925853,-0.012112771259656457,0.02040892637318858,-0.09511563907840512,6.160850439983232,4.680434329461439,1.1800977859153425,1.3162988744876034,85.69335557255818,43.75222979687857,0.5625441729735979,0.9154929577464787,4.72635802624612
ID66690,66690,0,158.0,181.21027434648184,87.88198328213315,0.0,15.0,15,4.701212433319338,1,,653.126582278481,601.0,157.0,1462.0,103194.0,285.89521340316895,-0.035344007459091845,-0.16740321522129176,0.005494651001664214,0.08475703091094676,5.53504907240023,4.10193037619371,0.9417067877190872,1.3493766506920453,69.4335906690472,39.77475555930724,0.551524043629662,0.8802228412256264,4.773343705056743
ID66661,66661,0,190.0,182.47210609320265,90.55028110257557,0.0,1.0,1,5.155349737799904,1,,1282.8947368421052,1214.0,379.0,2875.0,243750.0,523.3291673817446,0.11698165355873981,0.513473215907562,7.597584023571895E-4,-0.36215259093847313,6.077318884005455,4.838323140770743,1.2070299574485703,1.256079576991077,83.49609004505669,39.77475555930718,0.6632251157571898,0.9476309226932669,4.35285750066222
ID66693,66693,0,160.0,180.82201906141182,88.56917751190795,0.0,14.0,14,4.730873373827095,1,,598.76875,564.0,124.0,1587.0,95803.0,238.71259058559951,-0.05267272245648686,-0.2789327569259718,-0.02423033311546291,-0.14789051552321897,5.259154346239037,4.405974426107945,1.3535471016164908,1.1936415960736195,70.31249688004783,38.44892905563765,0.5976871094465098,0.9275362318840581,4.585302450022889
ID66664,66664,0,198.0,182.34466886201062,88.89715988707412,0.0,5.0,5,5.262764393642645,1,,793.5757575757576,722.0,245.0,1891.0,157128.0,335.6358036753738,0.010106278910347365,0.04731232759396264,-0.1321822888093734,-0.28495918979714313,6.0292164329591875,4.971661854085164,1.2867861975288288,1.2127165140978047,87.01171488905908,41.10057942625809,0.6472792771233041,0.9383886255924174,4.406147996684685
ID66696,66696,0,213.0,180.78858162361917,90.36765680936057,0.0,12.0,12,5.458472596149638,1,,684.8732394366198,612.0,142.0,1682.0,145878.0,310.6630126694706,0.0745024685188767,0.3057129868961531,-0.10233604049714616,-0.11037558816934957,6.335674790542142,4.954382716150179,2.4897435063834257,1.278802053359596,93.60351147156362,45.0780589372668,0.5788574021908843,0.9063829787234038,4.659283499361654
