LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID67488,67488,0,191.0,147.54852440837644,142.99161922784208,0.0,16.0,16,5.168907209857189,1,,560.9162303664922,525.0,248.0,1358.0,107135.0,191.32002205846595,-0.0217785777418911,-0.13054490465541008,0.006076649184638954,0.08428738480028539,6.172032935336647,4.3700679815073125,0.32718581573623406,1.4123425451170684,83.93582136084522,42.426472726881286,0.5859807580857207,0.9339853300733497,4.630877090138504
ID67523,67523,0,189.0,147.45786254172032,143.7927391744783,0.0,15.0,15,5.141773651263197,1,,578.5079365079365,527.0,246.0,1558.0,109338.0,210.34067147124608,0.10385235305912302,0.5175131794689187,-0.11924342209616506,0.006356208973263227,7.087245755796088,3.9154295653682136,0.5746963275711078,1.8100812790715064,83.05691223664785,46.40395575352642,0.48470292163641776,0.8831775700934584,5.091750482855016
ID67522,67522,0,204.0,148.93776015364506,148.56425602622497,0.0,0.0,0,5.341917001928528,1,,758.2352941176471,712.0,209.0,1440.0,154680.0,240.28965183241988,-0.08715626808562428,-0.6025611285788883,-0.01924903270796629,0.07292961675090562,6.353709075370783,4.541017574817447,0.13565075180771172,1.3991817848505481,89.64873066812781,45.07812573422041,0.5543988332868569,0.9293849658314346,4.760951728737377
ID67586,67586,0,208.0,149.63354410404835,143.92248228909753,0.0,12.0,12,5.394034499525504,1,,600.7884615384615,592.0,174.0,1133.0,124964.0,190.9275185879276,-0.10458907160841846,-0.735100922951154,0.00893260176616475,0.08107441941658418,5.686737770422367,5.300160436466788,0.19947034999522884,1.0729369117387095,91.40654891652244,46.403957511344686,0.5334296299588867,0.896551724137931,4.8536266250422315
ID67588,67588,0,178.0,148.7718857923792,144.56741981582215,0.0,13.0,13,4.989902427175718,1,,602.7247191011236,580.0,218.0,1289.0,107285.0,209.0387133506595,0.07003397825872663,0.37742746805141847,-0.08155569210185601,0.05614493305404208,5.959845756829044,4.354770537933288,0.42242566501785705,1.368578597865113,78.22291205356242,42.42647272688123,0.5460972509908816,0.9151670951156811,4.797002412074708
ID67560,67560,0,102.0,150.39032007310388,146.54301784326782,0.0,4.0,4,3.777305736599367,1,,559.2647058823529,533.0,224.0,1052.0,57045.0,166.61379582679712,0.002145754970700643,0.0143742662792583,0.07206215531412354,0.015743830972828138,4.06196204011723,3.5528601800929165,0.38781457257320984,1.1432935252777099,44.82436533406376,30.494028920400467,0.6057513594287677,0.9230769230769231,4.554678566417228
ID67597,67597,0,112.0,147.00101359436337,145.6043537169662,0.0,14.0,14,3.9581392022252393,1,,521.9017857142857,487.0,169.0,1233.0,58453.0,202.79324045727182,-0.07684549891880793,-0.42845907574210723,-0.1218591446298002,0.02810850507777157,4.6358517322198844,3.6544190739157156,0.5592746647469233,1.2685605122054495,49.218910955050504,34.471510189227445,0.5205006110751288,0.8784313725490186,4.913537898563212
