LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID68033,68033,0,342.0,216.62338095117283,154.90613411660604,0.0,7.0,7,6.916625184347478,1,,1276.2222222222222,1292.0,285.0,2537.0,436468.0,525.3334121053281,0.4258466200224931,1.451114456482003,-0.0409418017150099,0.1558061525619428,8.77656807592993,5.755543708088685,0.10523485941869626,1.5248894841325902,150.29286245017022,64.96542485173546,0.44749032924875887,0.8603773584905665,5.29923409396971
ID68257,68257,0,328.0,215.45084900028195,155.40828177270012,0.0,11.0,11,6.773577598805146,1,,1396.7560975609756,1440.0,233.0,2744.0,458136.0,567.3466719212128,0.4259457610099738,1.4707990952572971,-0.491938270106749,0.14931448833495786,8.992031740444302,5.299946656411351,-0.021685717321200348,1.696626838605372,144.14052305162525,62.313775360018894,0.46647441531314393,0.8530559167750331,5.190282750412297
ID68034,68034,0,354.0,216.90371789129705,156.698045188985,0.0,1.0,1,7.036923336511057,1,,1974.1610169491526,2092.0,175.0,3771.0,698853.0,852.5653037917725,0.5781337559987724,1.6965608117961661,0.16798206737209342,0.10505906126412858,9.293190241371375,5.834076929586041,0.11131457968811631,1.5929152723789635,155.56629622035135,70.2687203195461,0.39591438987713606,0.8349056603773581,5.6338371412718296
ID68037,68037,0,331.0,216.24791047388794,154.4143175247888,0.0,6.0,6,6.804483816780735,1,,1336.891238670695,1370.0,287.0,2656.0,442511.0,551.6614851480332,0.5001672182895276,1.6159538795289385,-0.5562352499327712,0.09794952765233633,8.545737525854864,5.466716586813374,0.010776770832483728,1.5632303943593124,145.4588814941705,66.29124432416,0.41594677909894784,0.8454661558109834,5.496497682289307
ID68069,68069,0,339.0,216.96818298178493,156.45297906295136,0.0,0.0,0,6.88622228910407,1,,1795.6519174041298,1818.0,236.0,3775.0,608726.0,869.0316772102344,0.5624883442280725,1.4876928755181864,-0.0551493825334858,0.2072559899357012,10.10570998195151,5.2186822404408835,0.16514066608028255,1.936448612187923,148.97450400762472,70.2687343820362,0.3791382046580899,0.8110047846889951,5.757131606128692
ID68164,68164,0,343.0,216.06333549741962,155.51555766208472,0.0,9.0,9,6.9267298284266205,1,,1397.938775510204,1450.0,243.0,2648.0,479493.0,572.8851821378488,0.46152836982630735,1.5411386417125759,-0.4662357680953241,0.1799775336193949,8.313944520379252,5.9010897545246195,-0.03880496218217322,1.4088829125170639,150.73231526435183,64.96541782049042,0.4487988776513842,0.8479604449938196,5.291503051660673
ID68166,68166,0,326.0,215.75589523366904,154.32620250284896,0.0,13.0,13,6.752894870831629,1,,1206.515337423313,1251.0,324.0,2429.0,393324.0,433.5442535244121,0.37767210870628165,1.525802968910907,0.36229570888954965,-0.03919085140644457,8.104302839863845,5.413468906347882,3.0880055779206055,1.4970627854462537,143.2616174232615,59.66212938392482,0.5057573639142915,0.899310344827586,4.984640302351327
