LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID68545,68545,0,245.0,138.54354993907134,142.924097095575,0.0,0.0,0,5.854164887840706,1,,217.16734693877552,197.0,73.0,714.0,53206.0,97.863574721531,0.06742721857859166,0.2803499082244883,-0.412137611940353,-0.017668246145118346,7.363846551497852,5.081853089295962,0.6181813497178954,1.449047507297783,107.6662963406638,51.70725122128357,0.5060422005564681,0.8941605839416054,4.983237249351798
ID68513,68513,0,236.0,139.20063934542284,144.11621736709662,0.0,1.0,1,5.745633366635694,1,,200.08898305084745,187.0,69.0,671.0,47221.0,85.20980693124051,0.010357748886945793,0.048145288391670725,-0.11651377585048775,0.1664459960474169,7.117444150011824,4.827252808198019,0.648736002388836,1.4744295426012126,103.71120790365985,53.03307860386167,0.463384901045238,0.8905660377358482,5.207556525537227
ID68577,68577,0,233.0,140.29302196335698,144.07124998458642,0.0,4.0,4,5.708997711249692,1,,186.56223175965664,169.0,61.0,717.0,43469.0,84.36449417709088,-0.010233830450974916,-0.045729834449947965,-0.17278617657456177,0.08636855032234252,6.959150516633792,4.731700077338787,0.5434276718751248,1.470750555379193,102.39284509132516,51.70725210019208,0.48125644376046617,0.8910133843212233,5.109950030514263
ID68529,68529,0,136.0,138.7585591906252,142.7261979924545,0.0,10.0,10,4.361655521973028,1,,208.71323529411765,185.0,81.0,753.0,28385.0,98.35136618744458,-0.049350112080472325,-0.22032670055502648,0.0025297524318048698,0.12861269648863233,5.350587743549199,3.6573488187236625,0.44657094184884566,1.4629689451979704,59.765780825837794,38.44898266895376,0.5080339733508697,0.8859934853420195,4.973459139666112
ID68562,68562,0,238.0,138.67987300668128,141.6043983614622,0.0,6.0,6,5.769927907836129,1,,193.31932773109244,177.0,65.0,622.0,46010.0,88.7508181716001,0.00623630426625091,0.02699977967533682,-0.16238573575109203,0.2043368654516412,7.733058377314028,4.6795051116403785,0.6226513750076842,1.6525376493505401,104.5901164452163,50.381424717613925,0.5177971090491235,0.9206963249516444,4.926348384937311
ID68546,68546,0,154.0,139.69829885326752,141.06277443263275,0.0,9.0,9,4.641328085022322,1,,193.32467532467533,176.0,70.0,431.0,29772.0,77.5685135161786,-0.01757958974567597,-0.08919554745271832,0.053811263196746305,0.296759850359288,5.713045714776839,4.177036002022774,0.6088975564385953,1.3677271902876191,67.6759576998459,38.44898266895382,0.5752737639414258,0.9221556886227544,4.673773351604733
ID68585,68585,0,191.0,138.27130129457385,140.95409939012086,0.0,8.0,8,5.168905496587222,1,,213.40314136125656,185.0,48.0,697.0,40760.0,108.08890001230185,0.029893287531780718,0.11461228167264996,-4.2880410684093586E-4,0.20907675767469927,6.215793639519823,4.456464354459118,0.637436863814253,1.3947814108061538,83.93576571863991,43.75229044144908,0.5510047389109335,0.9204819277108438,4.775592538830449
