LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID69857,69857,0,157.0,39.449698201997336,74.38979572312134,0.0,0.0,0,4.686316223960046,1,,2212.6369426751594,2256.0,680.0,4060.0,347384.0,799.409270303393,0.35581875449671424,1.4527743812662048,0.00856453566443517,0.0413066640132502,5.477262036423693,4.246202487086858,-1.3181007084708156,1.2899201234704691,68.9942747749614,37.12313858713205,0.6291200765727453,0.9289940828402365,4.469286129769769
ID69921,69921,0,122.0,37.6882734654167,82.70109020032925,0.0,9.0,9,4.131061683695499,1,,2004.204918032787,2073.0,694.0,3748.0,244513.0,747.7507090941605,0.35634982758782696,1.4083808851518804,-0.05340598533376604,-0.16567596406650575,4.779188545130851,3.7961094685396493,-1.2940500951217944,1.2589701600384535,53.61338549391914,31.819834330267426,0.6654068508403805,0.945736434108527,4.34571556997246
ID69920,69920,0,157.0,38.81634117210335,77.52702005177838,0.0,2.0,2,4.686316223960048,1,,2180.184713375796,2202.0,672.0,4095.0,342289.0,782.0036709014112,0.34339832366021894,1.4253051779211638,0.11035421769651814,-0.060233285973855674,5.584432857699367,4.348859640238248,-0.9774186055642907,1.2841143011443408,68.99427477496147,35.7973129623699,0.6765845257518615,0.9602446483180423,4.309668858688686
ID69922,69922,0,141.0,37.61212432845684,82.22939779110143,0.0,11.0,11,4.441107858631755,1,,2116.3475177304963,2119.0,531.0,4095.0,298405.0,864.1278674050138,0.3632166940644258,1.3050882305701013,0.00752087318060233,0.007978848436098496,5.198889816696189,3.891575030584656,1.8150075070640292,1.3359346218014783,61.963011103627814,35.79731296236987,0.6076332365032651,0.9215686274509803,4.5476200387959995
ID70052,70052,0,133.0,38.51877448332158,77.75020270926788,0.0,3.0,3,4.313279337409706,1,,2045.3834586466166,2060.0,680.0,3799.0,272036.0,753.2796848871637,0.33532393272743294,1.3637237312477795,0.056687228837236155,-0.12676072266678876,5.3999108023583835,3.7649067928432847,1.7599974776814467,1.4342747641516862,58.447379267961004,33.145659955029615,0.6685310230463475,0.95,4.3355495027303395
ID69796,69796,0,139.0,37.21378081387379,81.77673376905459,0.0,8.0,8,4.409498148274012,1,,2279.7841726618703,2323.0,437.0,3971.0,316890.0,825.2258694985932,0.38669062866578424,1.5407598846429864,-0.10515018030143987,-0.0634575872387839,5.002917454360477,4.109203082368989,-1.4748870240996872,1.2174909231977542,61.08410314471116,34.47148733760771,0.6459784369592687,0.9391891891891893,4.410582209426544
ID69901,69901,0,151.0,39.37970735670702,76.68276883351314,0.0,1.0,1,4.595896482063618,1,,2178.344370860927,2196.0,676.0,4095.0,328930.0,831.2486755587053,0.3403794166421631,1.3309480573224979,0.20604359917818563,-0.004111249857086321,5.275059233059614,4.291368191572796,-0.8656451793061997,1.229225505147414,66.35755089821131,35.79731472018581,0.6507277283760704,0.9496855345911946,4.3944575694709975
