LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID73601,73601,0,171.0,135.15289297494164,96.28104649914393,0.0,0.0,0,4.890790949697251,1,,546.1111111111111,512.0,133.0,1685.0,93385.0,237.79985268002272,-0.3613810422811076,-2.599099984505388,-0.05373220506919312,0.12422209663217594,5.871477271526299,4.196876337507135,2.69378770418362,1.3990112644142967,75.14638140968492,41.10056448492821,0.5590135864362578,0.9218328840970348,4.741259767352102
ID73585,73585,0,212.0,134.67770639869968,95.69371227864256,0.0,1.0,1,5.445640595707068,1,,541.2830188679245,483.0,89.0,1391.0,114752.0,247.7257409787079,-0.2806493979526846,-1.704930836073401,-0.028625108987539425,0.08916192547503936,6.764387425708334,4.43663985616883,2.6931453736203186,1.524664531042099,93.16393484709477,45.078035206886454,0.5761396045387701,0.9339207048458146,4.670260084841712
ID73729,73729,0,176.0,133.35479364323908,96.31042991710254,0.0,2.0,2,4.961778564821298,1,,532.2613636363636,474.0,158.0,1436.0,93678.0,256.79862012616286,-0.33339234580929955,-2.0732304603575766,0.00745315293590015,-0.02779518150670906,5.6917160599649215,4.272214896173305,2.610449603745135,1.3322635209813736,77.34364402400325,42.42638219954736,0.539961125475884,0.9214659685863872,4.82418201293968
ID73793,73793,0,181.0,133.55321396770728,94.54356885483783,0.0,3.0,3,5.031764793688162,1,,562.2707182320441,514.0,55.0,1462.0,101771.0,256.03886136034794,-0.3169679606922629,-2.038186240571822,-0.046811700104940374,0.035628213200501684,5.9572350518376815,4.257992573521013,2.715907050817424,1.399071263976286,79.54090663832162,42.426386594072625,0.5553008151407658,0.923469387755102,4.757083521465845
ID73603,73603,0,193.0,132.0021719236407,93.62845822063636,0.0,7.0,7,5.195887020464417,1,,649.3316062176166,625.0,171.0,1726.0,125321.0,252.47525432787953,-0.20491086035900075,-1.325643892977861,-0.008876317772336788,-0.10608422124330269,5.725520144916913,4.7980930271302675,-0.3319537414792531,1.193290774593701,84.81433691268549,42.426386594072625,0.5921163387965072,0.9323671497584539,4.606821759147191
ID73764,73764,0,188.0,132.55091515808945,94.0064293345408,0.0,4.0,4,5.128141136586534,1,,615.4202127659574,549.0,136.0,1482.0,115699.0,281.4009623674817,-0.2647233175022635,-1.5747716092038861,0.012638958032699002,0.09125793825599796,6.184075795193976,4.303131032491435,2.7015620100335163,1.437110733672804,82.61707429836717,42.426386594072625,0.5767765372732814,0.9353233830845766,4.667680694895794
ID73514,73514,0,164.0,133.52043008906466,94.75585939805384,0.0,6.0,6,4.78964106545461,1,,638.2073170731708,607.0,197.0,1479.0,104666.0,248.15094050050536,-0.24606670813556797,-1.6787877341414221,-0.022230542251761288,-0.04708368908750686,5.908820239715173,4.088419091001816,-0.10482877713864946,1.4452579611321819,72.07021374963938,38.44892026663962,0.6126287550254401,0.9452449567723338,4.529040906541781
