LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID74242,74242,1,132.0,45.213517181347406,59.58705911904078,0.0,1.0,1,4.297031982220446,1,,541.0984848484849,520.0,109.0,1093.0,71425.0,185.18424330150887,-0.31576586249056204,-2.6968868195521316,-0.0031007642142132155,-0.014838350568854115,4.426820301309823,4.122791928136848,2.5386219495174087,1.0737433221157902,58.007886835044964,37.12312013055258,0.5289418957449963,0.897959183673469,4.8741730974101225
ID74244,74244,1,170.0,43.98216957620074,60.446190451084846,0.0,2.0,2,4.876475888135096,1,,499.1058823529412,467.0,187.0,1224.0,84848.0,173.01431507141555,-0.28324613316848024,-2.2799986575974907,0.06849737155263115,-0.03337610875256972,5.256580882401992,4.537828647900412,-1.2622610234671048,1.1583912241450847,74.70712698452759,42.42644372344826,0.5215532301748594,0.9018567639257289,4.908577047204188
ID74232,74232,1,195.0,46.44453755788926,59.631794322424824,0.0,0.0,0,5.222746253071204,1,,619.123076923077,594.0,215.0,1500.0,120729.0,230.32396554393944,-0.26573573772084663,-1.9456531981706415,0.07480399541265453,-0.009716138106583774,5.848842666794065,4.813371849500613,-0.7574960849850314,1.2151237946432254,85.6934691881346,43.752264953691025,0.562544014759148,0.9198113207547168,4.726358690885743
ID74239,74239,1,154.0,43.020316152747895,58.14715510782045,0.0,3.0,3,4.641325008256042,1,,528.2532467532468,494.0,212.0,1056.0,81351.0,172.18961131349263,-0.30669583766048,-2.714246580673989,0.09075727995193988,0.05386393294914265,5.092161426859644,4.355557170919979,1.3578022745947027,1.1691182613461322,67.67586797421916,39.774791594981565,0.537561148279129,0.9005847953216377,4.834938959403616
ID74289,74289,2,278.0,23.583402818527052,83.0313522952458,0.0,10.0,10,6.235970017634649,1,,750.5215827338129,696.0,227.0,2529.0,208645.0,304.4365296996017,-0.23159856081806046,-1.4860865562301981,-0.08895107426126864,0.1337651964461186,8.548758207789385,4.702677704997272,2.6084594655084476,1.8178490519784292,122.16812530410985,55.6846656938572,0.4951041198905513,0.9235880398671094,5.037982584741471
ID74256,74256,2,203.0,28.485563033024157,84.79766239945958,0.0,3.0,3,5.328802684620564,1,,550.9802955665025,521.0,206.0,1751.0,111849.0,223.45529068819533,-0.2069356985745179,-1.286774476005784,-0.10014691315478917,0.17961066992181512,6.666831707889392,4.387216501334853,2.4432552226685544,1.519603991702015,89.20909869328888,45.078076515952674,0.5516812995037453,0.9227272727272726,4.772663339565959
ID74226,74226,2,281.0,24.310654408633088,83.08854846164813,0.0,11.0,11,6.269527049244387,1,,784.0142348754448,726.0,197.0,1940.0,220308.0,302.94150745565025,-0.1702120390745759,-1.061740310734218,-0.15737758605252428,0.23894712007290814,8.76369636670354,4.545659330746213,-0.48455479881592856,1.9279263422639497,123.48648636854267,60.98796028280944,0.41719690698621925,0.8850393700787403,5.488256393683213
