LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID74369,74369,0,241.0,48.30461368557821,74.77191142410953,0.0,0.0,0,5.806184893925703,1,,1676.2738589211617,1651.0,672.0,3382.0,403982.0,414.17170314834004,-0.1732797122434375,-1.6966164238843668,-0.017083989035321247,-0.044550007986520666,7.833757712876081,4.342450493018737,-0.37444324350518676,1.803994708856265,105.90868988274526,54.35894026409888,0.45040115625351224,0.8975791433891989,5.28208254301103
ID74449,74449,0,184.0,45.51400847179532,75.30935669993107,0.0,3.0,3,5.073308264577612,1,,1476.7608695652175,1496.0,759.0,2374.0,271724.0,341.264776122867,-0.10527734732744863,-1.0183456385470502,0.1130680150589822,-0.00892821385022281,7.6586794658403745,3.4476756673844253,-0.33012068286532076,2.221403694753753,80.85974663246945,46.403965421678905,0.4718805220251648,0.8997555012224931,5.16046582641499
ID74497,74497,0,169.0,45.94495722733541,74.33282698622223,0.0,12.0,12,4.862120215589841,1,,1695.6686390532545,1696.0,693.0,2995.0,286568.0,424.7057485832802,-0.10140725077738635,-0.9011331020077905,-4.817065341104197E-5,0.02690303537803294,6.155740057535679,3.8134038547531244,-0.5948752623060112,1.6142376448964373,74.26791946134419,43.752324719078004,0.4875384301497241,0.9061662198391416,5.076922159052015
ID74358,74358,0,154.0,47.64362991840204,74.91805504119846,0.0,2.0,2,4.641332700234203,1,,1514.1623376623377,1473.0,689.0,2453.0,233181.0,339.23939280558346,-0.12321263421880228,-1.2544608657316547,-0.09587032198655984,0.1705011844160511,6.658569068288028,3.366552608207357,2.7201360475760286,1.9778597999790724,67.67609229021899,41.100657649168426,0.5034398576242519,0.9194029850746265,4.996100133363233
ID74488,74488,0,168.0,45.567364032004726,73.09037418988527,0.0,11.0,11,4.8477139018037985,1,,1429.4880952380952,1346.0,509.0,2738.0,240154.0,443.5210502480311,-0.14926262652569544,-1.1309720415646718,0.029887199113000577,0.08082832629280699,5.833220992811759,4.065518236559739,2.9172027097821562,1.4348037945951655,73.82846431660253,41.10066292263018,0.5492069764751446,0.9081081081081076,4.783402314486244
ID74459,74459,0,121.0,48.44194286837686,75.12311271258832,0.0,1.0,1,4.114101720883713,1,,1886.3057851239669,1894.0,1044.0,2810.0,228243.0,376.7274400008404,-0.059524894495076655,-0.633820334119059,0.05681786563944123,-0.022109662014641422,4.344312663142217,3.9123112777466402,0.007633465633681669,1.1104210157951429,53.174072513743525,34.47152952535754,0.5623266677343672,0.9029850746268655,4.727272004103025
ID74443,74443,0,172.0,45.949107844228685,75.46059057071514,0.0,6.0,6,4.905085294076367,1,,1331.6976744186047,1315.0,661.0,2183.0,229052.0,311.7201687736792,-0.09936702262726019,-0.9426818955366615,0.050484758368341764,0.11398609648571756,7.129693637378366,3.5080313807823638,2.794644252815946,2.0323916360714813,75.5862848955693,42.426483273930614,0.5276899157500958,0.9222520107238606,4.879951824410027
