LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID75539,75539,0,252.0,46.26172145121456,20.90020939984246,0.0,0.0,0,5.937198963726335,1,,1898.2579365079366,1925.0,817.0,3221.0,478361.0,470.5207348129859,0.060783748427929996,0.4623459679614822,-0.0011753811314728917,-0.02600996256106846,6.901092820028318,5.1257865946405134,-1.411156772798679,1.3463480565585881,110.74218258656182,50.38136934669746,0.5482555138464845,0.9368029739776947,4.787551160731006
ID75541,75541,0,250.0,46.671589886098594,18.272565099824906,0.0,2.0,2,5.9135917172968595,1,,1802.816,1770.0,677.0,3260.0,450704.0,548.4063568861071,0.19065519427924768,1.0527895126203903,-0.09064502593240592,-0.04102365474066279,6.392676492640363,5.475390935092485,1.0501622917956142,1.167528778935012,109.86327637555742,50.381357042010514,0.5439045452861637,0.9140767824497257,4.806662043468874
ID75540,75540,0,227.0,47.09880831779672,19.206987832170242,0.0,1.0,1,5.635004421913516,1,,1868.396475770925,1824.0,853.0,3725.0,424126.0,497.31432839449036,0.17443607829678262,1.1160277489663677,-0.160839102884942,-0.0773660759751955,6.199542900940484,5.27856399241338,0.974253182412125,1.1744752758232697,99.75585494900615,47.72970667137837,0.5502635280563615,0.9061876247504992,4.778807843532659
ID75556,75556,0,240.0,46.229759668226315,19.887423922317083,0.0,5.0,5,5.794112901810486,1,,1607.8166666666666,1589.0,546.0,3274.0,385876.0,513.4675372941809,0.040265474215776434,0.24240532941109932,0.07638431576734442,0.060866209447849436,7.191475345472127,4.7351149533333965,-1.111379167444114,1.51875412030061,105.4687453205351,49.05554723755315,0.5507536625645909,0.9284332688588006,4.776680958014174
ID75574,75574,0,214.0,48.671301352513254,18.59257295665839,0.0,6.0,6,5.47127090821164,1,,1598.6028037383178,1516.0,585.0,3111.0,342101.0,491.5856266703794,0.1621085833539211,0.9072577598767527,-0.003463081532201198,-0.025124646250075544,6.437959413976616,4.658762403699315,1.0454928652314637,1.3819033588973157,94.04296457747718,46.40389071457752,0.5488167840478907,0.9204301075268818,4.785102440816731
ID75545,75545,0,268.0,48.38013924021256,17.164034153850533,0.0,4.0,4,6.1227810529857685,1,,1681.2910447761194,1618.0,429.0,3534.0,450586.0,629.4162484811525,0.10494436501225407,0.5074037329472513,0.021626144127976622,0.10084375407267965,6.864716936973062,5.442779075412882,1.9941912686743457,1.261252173174476,117.77343227459752,55.68467008796172,0.4772939110352709,0.9178082191780819,5.131117796805913
ID75563,75563,0,261.0,47.343532786303214,17.865662818592387,0.0,3.0,3,6.042290289851427,1,,1742.1379310344828,1660.0,682.0,3691.0,454698.0,561.0573227072215,0.1511911181812301,0.8156130126433397,-0.08725343018191578,-0.08540042484504598,6.97855984569421,5.409961386354132,1.2642872369543556,1.289946331834576,114.69726053608198,51.70719145584178,0.5390896712011928,0.9271758436944939,4.828079654314788
