LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID76227,76227,0,213.0,31.113227320978968,66.87656471569669,0.0,2.0,2,5.458472596171224,1,,668.4460093896714,651.0,250.0,1351.0,142379.0,209.8925896593435,0.012297824332087147,0.07737830396290253,0.09230844388160628,-0.0857610074445979,7.13506166778392,4.400269712910596,-0.521203761691061,1.6215055288200442,93.60351147230396,51.70716245211863,0.43994723671814034,0.8486055776892427,5.3444698926875205
ID76229,76229,0,191.0,26.516424604855636,63.848044153858865,0.0,8.0,8,5.168898643544848,1,,790.9895287958116,780.0,237.0,1319.0,151079.0,217.53702623809502,0.025399685539956904,0.180136907431492,-0.017923656371282747,-0.022405055543165575,5.981388543780831,4.523728228440653,-0.3588640602467796,1.3222254392241948,83.93554315122088,45.07804048059293,0.5190697387595369,0.8988235294117644,4.920305589210178
ID76196,76196,0,190.0,29.81004366103765,64.92375959089114,0.0,3.0,3,5.155349737820293,1,,642.0631578947368,622.0,255.0,1224.0,121992.0,194.59662854691695,-0.026505080203660512,-0.17966681444037852,0.08340103351304404,-0.17190874269791884,6.813133502407621,4.308683339358668,2.5165798508570267,1.581256492017288,83.49609004571715,46.40386962099163,0.4872676811646674,0.8755760368663595,5.0783324522888575
ID76263,76263,0,266.0,25.81114752185047,66.32136294039395,0.0,7.0,7,6.099892071745309,1,,756.9323308270676,750.0,181.0,1618.0,201344.0,252.89777770799228,0.07358060732882438,0.41027093237789986,-0.21057276527376595,0.013223565941178161,7.769413895671388,5.03035666407166,2.341068134832783,1.5445055717744447,116.89452606400403,53.033015322984994,0.522289622850078,0.917241379310345,4.9051154475255725
ID76264,76264,0,236.0,24.783306598372942,63.24654433308605,0.0,12.0,12,5.745625748955519,1,,741.6271186440678,706.0,313.0,1363.0,175024.0,229.22648083668003,-0.04503541738654096,-0.30515306600954645,0.0012402923393159844,-0.002256030709762086,7.1376719246524045,4.6374433454884105,2.518067581168066,1.53913943371327,103.71093289889077,50.381357042187624,0.5134458907483336,0.8973384030418251,4.947178617293318
ID76235,76235,0,308.0,30.321703720227703,65.20238308317788,0.0,5.0,5,6.563820422800588,1,,688.5422077922078,653.0,217.0,1509.0,212071.0,218.06924796900583,0.005095436291208126,0.03201402003742818,0.09133966933242312,-0.1023142796666305,7.200097314465886,5.891580021279356,0.28204477040071985,1.222099553678367,135.3515564951625,57.010479013713315,0.5233156687680889,0.9005847953216368,4.90030444782968
ID76238,76238,0,199.0,28.91489517212902,63.829678791907455,0.0,6.0,6,5.276037464917013,1,,741.2763819095477,722.0,268.0,1576.0,147514.0,213.09022368299193,0.04551766294187115,0.3028971694373494,-0.10067090598102318,-0.14273981624515764,6.503289905798572,4.627526380404431,2.5436234002438995,1.4053490723115456,87.45116799525111,45.07804839074882,0.5408106898503796,0.9107551487414187,4.8203913482108325
