LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID81027,81027,1,202.0,210.36009625055357,102.09848602887588,0.0,8.0,8,5.315663112842728,1,,2153.7772277227723,2233.0,647.0,3828.0,435063.0,771.9944737746151,0.39768514767037244,1.5876201650477548,-0.02397402596552781,-0.14426226084282529,6.996012805066483,3.9792009849087537,-1.1735882769872692,1.7581451230031064,88.76970385054832,49.055580635773595,0.46355129001105766,0.9017857142857135,5.206621831004161
ID80710,80710,1,276.0,214.3227365497212,98.24806726921261,0.0,0.0,0,6.213500039983748,1,,1925.3985507246377,1818.0,475.0,4095.0,531410.0,917.5766149025778,0.44199758407737055,1.2863633626297852,-0.6270311200536788,0.39519558830515883,9.106083745520218,4.9620226992179965,-0.8990053660380363,1.8351556003472769,121.28929833045207,58.33636616146046,0.4478716799539167,0.8598130841121495,5.296977535773845
ID80905,80905,1,272.0,212.21754192468018,98.9422400174127,0.0,3.0,3,6.168310349045408,1,,1895.2720588235295,1627.0,573.0,4095.0,515514.0,891.9253436806272,0.47153750130751143,1.3618145023826664,-0.07588102090430568,0.11741988532226162,9.222564073120854,4.64091385564568,2.267074254827723,1.9872301792246343,119.53148241261948,63.639672176138646,0.37088246604879554,0.8305343511450378,5.820855000871987
ID80745,80745,1,231.0,210.58257324517538,100.35530916303898,0.0,14.0,14,5.684440884430299,1,,2194.6666666666665,2282.0,619.0,4095.0,506968.0,815.5160365051689,0.5366756211182837,1.8797310869209254,0.0014134281500477108,-0.009672096719417324,8.035373601198422,4.115039497910231,2.177964828466793,1.95268444088546,101.51386925483493,55.6847131541214,0.41139903797009136,0.8619402985074626,5.526794237662063
ID80427,80427,1,188.0,211.81488849847887,101.28115602366849,0.0,6.0,6,5.12814963536128,1,,2346.563829787234,2473.0,822.0,4079.0,441154.0,755.8528427995375,0.42695257422837857,1.8577839822675597,-0.02253085260407034,-0.11339005149484181,7.033857605198264,3.8294954052397765,1.8719759942998946,1.8367583352036565,82.61734813813395,45.078101124764885,0.5109164523139109,0.9082125603864734,4.959409710928416
ID80458,80458,1,178.0,212.3072794794788,100.18928258910151,0.0,1.0,1,4.989899119302175,1,,2282.252808988764,2351.0,580.0,3893.0,406241.0,794.4540164881156,0.28798437627400547,1.2846455388525906,0.04765471150018991,0.297938759362158,7.451891103742525,3.512921725878909,1.7621382569275823,2.1212801437749405,78.22280834355234,51.70723364311266,0.3676551560414089,0.8259860788863103,5.84634717416772
ID80938,80938,1,141.0,210.00245545889686,102.21558161801427,0.0,11.0,11,4.4411078586307795,1,,1920.0567375886526,1985.0,479.0,3220.0,270728.0,619.4255261709334,0.46302396427239356,1.9620360762840994,0.11130368534771831,-0.258202437424063,5.545505756582975,3.7900976712854795,1.942698006905136,1.4631564243309112,61.96301110360062,37.12314210274758,0.5650058216277567,0.9185667752442995,4.716050757972504
