LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
ID81601,81601,0,227.0,139.30222054356867,59.58898708610111,0.0,8.0,8,5.634998818635786,1,,1143.8149779735684,1147.0,326.0,2209.0,259646.0,345.84863068962545,-0.1050600645206969,-0.7765036280692529,-0.07792832169126418,-0.035473441595727656,6.556413211781649,5.015473141433338,-1.211248138786086,1.307237229049927,99.75565656070307,55.68459186518314,0.4042753982463611,0.8391866913123838,5.575274761468418
ID81600,81600,0,201.0,138.6312296299842,60.882278942299386,0.0,0.0,0,5.302478661066283,1,,1005.2338308457712,984.0,211.0,2159.0,202052.0,326.78439382833324,-0.22772556738809566,-1.8141613899188236,-0.014210759752833346,0.06981211534845548,7.122278755997808,3.9729120067803794,2.3669927918697273,1.7927099175220984,88.32989854053442,49.05548131946151,0.4612565147003352,0.8933333333333328,5.2195573703254095
ID81539,81539,0,235.0,139.58122923161258,60.41235380730899,0.0,2.0,2,5.733434189425826,1,,1020.4893617021277,1001.0,341.0,2122.0,239815.0,326.59221236419774,-0.046424266794516666,-0.3042443455501858,-0.800606170387956,0.24793408408629722,8.993801655421224,4.246908838643129,2.7251512568453675,2.117728916991472,103.27127441306263,55.684609443272365,0.41852272514179106,0.87360594795539,5.479556505551433
ID81603,81603,0,200.0,139.0061876281916,60.401140737343056,0.0,17.0,17,5.289271968925118,1,,766.85,770.0,245.0,1417.0,153370.0,234.3224756890924,-0.19050763160855283,-1.5403736809531878,-0.2352756820172052,-0.8534319383351922,6.215428877094876,5.060153953928194,0.6836502159160327,1.2283082557734915,87.89044630898944,47.72966624155285,0.48481353826925966,0.8547008547008537,5.091169574546856
ID81735,81735,0,209.0,141.97752778852723,59.70322861345348,0.0,12.0,12,5.4069710438945,1,,844.4736842105264,842.0,280.0,1865.0,176495.0,274.6751587125512,-0.13271270808146754,-0.9409060487183734,-0.3624971739154219,0.10121266211783804,6.795888536275046,4.7551916718496665,2.4842345824521805,1.4291513371597897,91.84551639289404,49.05548131946145,0.479614982947116,0.8931623931623933,5.118686849195139
ID81582,81582,0,213.0,140.51884262444403,59.62153555135711,0.0,5.0,5,5.4584671684218,1,,950.5680751173709,931.0,232.0,1755.0,202471.0,286.97069621379165,-0.19126393623226445,-1.5667580981652915,-0.0665628876591452,-0.1823675140766284,7.03694811752286,4.6740290384870375,-0.38128534837144806,1.505542233387726,93.60332531907376,50.3813104598415,0.46340660791227417,0.8765432098765431,5.207434558069636
ID81649,81649,0,162.0,141.29045423391332,57.791931010632936,0.0,11.0,11,4.7603447720326075,1,,910.925925925926,913.0,297.0,1532.0,147570.0,259.53849522526656,-0.28476786983939145,-2.7948290372185665,-0.15197589620156382,-0.0037617795752253676,5.370808161336218,4.579871031007575,0.5548312509595028,1.1726985596261728,71.19126151028149,43.75218936726631,0.46734432413772076,0.8617021276595742,5.185449937039028
